Data As Of,Start Date,End Date,Group,Year,Month,State,Place of Death,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
01/06/2022,01/01/2020,01/01/2022,By Total,,,California,Other,2988,69823,2144,1056,13,4088,
01/06/2022,01/01/2020,01/01/2022,By Total,,,California,Place of death unknown,,,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Colorado,Total - All Places of Death,10758,94678,9584,5821,149,14662,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Colorado,"Healthcare setting, inpatient",6224,24362,6438,4431,79,8304,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Colorado,"Healthcare setting, outpatient or emergency room",238,3704,213,102,,356,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Colorado,"Healthcare setting, dead on arrival",12,87,,,0,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Colorado,Decedent's home,1381,34536,1084,422,33,2076,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Colorado,Hospice facility,249,6764,434,136,,551,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Colorado,Nursing home/long term care facility,2460,19117,1251,667,25,3067,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Colorado,Other,194,6083,158,59,,294,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Colorado,Place of death unknown,0,25,0,0,0,0,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Connecticut,Total - All Places of Death,9252,70693,5843,2886,94,12299,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Connecticut,"Healthcare setting, inpatient",5434,24647,4502,2403,72,7602,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Connecticut,"Healthcare setting, outpatient or emergency room",299,4343,141,38,,404,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Connecticut,"Healthcare setting, dead on arrival",13,489,,,0,18,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Connecticut,Decedent's home,408,20821,232,32,,613,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Connecticut,Hospice facility,137,2578,107,53,0,191,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Connecticut,Nursing home/long term care facility,2787,13771,797,340,14,3258,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Connecticut,Other,173,4034,56,18,0,211,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Connecticut,Place of death unknown,,10,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Delaware,Total - All Places of Death,2284,21721,1983,1131,26,3161,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Delaware,"Healthcare setting, inpatient",1432,5784,1582,971,17,2059,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Delaware,"Healthcare setting, outpatient or emergency room",59,1242,55,22,,93,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Delaware,"Healthcare setting, dead on arrival",,16,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Delaware,Decedent's home,195,8203,123,45,,276,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Delaware,Hospice facility,88,2370,72,19,,145,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Delaware,Nursing home/long term care facility,496,2881,136,70,,563,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Delaware,Other,13,1223,15,,0,24,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Delaware,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,District of Columbia,Total - All Places of Death,1643,13997,2078,1340,12,2393,
01/06/2022,01/01/2020,01/01/2022,By Total,,,District of Columbia,"Healthcare setting, inpatient",1271,7226,1721,1083,11,1920,
01/06/2022,01/01/2020,01/01/2022,By Total,,,District of Columbia,"Healthcare setting, outpatient or emergency room",69,848,61,50,0,80,
01/06/2022,01/01/2020,01/01/2022,By Total,,,District of Columbia,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
01/06/2022,01/01/2020,01/01/2022,By Total,,,District of Columbia,Decedent's home,124,3502,123,82,0,165,
01/06/2022,01/01/2020,01/01/2022,By Total,,,District of Columbia,Hospice facility,34,477,39,27,0,46,
01/06/2022,01/01/2020,01/01/2022,By Total,,,District of Columbia,Nursing home/long term care facility,127,1033,112,84,0,155,
01/06/2022,01/01/2020,01/01/2022,By Total,,,District of Columbia,Other,18,910,22,14,,27,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,District of Columbia,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Florida,Total - All Places of Death,60162,501875,63735,38841,560,85560,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Florida,"Healthcare setting, inpatient",43654,153707,46300,31285,391,59013,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Florida,"Healthcare setting, outpatient or emergency room",1955,31280,1587,822,24,2744,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Florida,"Healthcare setting, dead on arrival",27,396,13,10,0,30,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Florida,Decedent's home,3346,142435,3346,1295,43,5439,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Florida,Hospice facility,6301,86437,8344,3502,79,11217,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Florida,Nursing home/long term care facility,2672,40085,1918,774,,3824,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Florida,Other,2207,47532,2227,1153,14,3293,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Florida,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Georgia,Total - All Places of Death,27256,209662,23051,14714,238,35811,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Georgia,"Healthcare setting, inpatient",19889,67444,18207,12564,171,25688,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Georgia,"Healthcare setting, outpatient or emergency room",1349,19191,801,378,21,1791,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Georgia,"Healthcare setting, dead on arrival",52,1633,28,11,,70,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Georgia,Decedent's home,2038,69260,1268,513,26,2817,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Georgia,Hospice facility,1074,14635,1278,478,,1883,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Georgia,Nursing home/long term care facility,2543,25016,1312,694,,3167,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Georgia,Other,311,12460,157,76,,395,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Georgia,Place of death unknown,0,23,0,0,0,0,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Hawaii,Total - All Places of Death,1068,24520,1868,604,27,2358,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Hawaii,"Healthcare setting, inpatient",797,6666,1313,538,19,1590,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Hawaii,"Healthcare setting, outpatient or emergency room",64,1828,86,24,,127,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Hawaii,"Healthcare setting, dead on arrival",16,1000,21,,,37,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Hawaii,Decedent's home,112,9093,207,24,,296,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Hawaii,Hospice facility,,1212,59,,,62,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Hawaii,Nursing home/long term care facility,46,2053,110,,,153,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Hawaii,Other,28,2668,72,,,93,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Hawaii,Place of death unknown,0,0,0,0,0,0,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Idaho,Total - All Places of Death,4261,34344,3342,2230,37,5406,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Idaho,"Healthcare setting, inpatient",2555,8592,2327,1694,18,3204,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Idaho,"Healthcare setting, outpatient or emergency room",89,1164,65,28,,129,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Idaho,"Healthcare setting, dead on arrival",0,33,0,0,0,0,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Idaho,Decedent's home,635,14149,418,224,11,838,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Idaho,Hospice facility,132,1340,132,72,,193,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Idaho,Nursing home/long term care facility,804,7218,366,197,,976,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Idaho,Other,46,1848,34,15,,66,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Idaho,Place of death unknown,0,0,0,0,0,0,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Illinois,Total - All Places of Death,27851,246912,26101,14691,234,39487,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Illinois,"Healthcare setting, inpatient",18634,77135,19965,12202,152,26541,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Illinois,"Healthcare setting, outpatient or emergency room",1044,17395,781,340,12,1497,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Illinois,"Healthcare setting, dead on arrival",23,595,,,0,25,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Illinois,Decedent's home,2074,82583,1756,556,25,3299,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Illinois,Hospice facility,581,9581,724,302,10,1013,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Illinois,Nursing home/long term care facility,4808,42610,2468,1125,31,6182,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Illinois,Other,687,17013,400,161,,930,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Illinois,Place of death unknown,0,0,0,0,0,0,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Indiana,Total - All Places of Death,18733,153660,17518,9873,193,26561,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Indiana,"Healthcare setting, inpatient",11378,48103,12943,8008,136,16440,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Indiana,"Healthcare setting, outpatient or emergency room",368,6421,312,128,,559,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Indiana,"Healthcare setting, dead on arrival",,134,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Indiana,Decedent's home,1442,51141,1375,475,18,2360,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Indiana,Hospice facility,262,5518,496,179,,587,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Indiana,Nursing home/long term care facility,5024,34185,2185,991,22,6239,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Indiana,Other,255,8137,205,91,,371,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Indiana,Place of death unknown,0,21,0,0,0,0,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Iowa,Total - All Places of Death,8104,68381,6264,3054,112,11422,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Iowa,"Healthcare setting, inpatient",4211,18350,4006,2248,57,6022,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Iowa,"Healthcare setting, outpatient or emergency room",201,3268,139,49,,294,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Iowa,"Healthcare setting, dead on arrival",,89,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Iowa,Decedent's home,602,19282,494,126,13,983,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Iowa,Hospice facility,209,5585,420,72,13,570,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Iowa,Nursing home/long term care facility,2804,19413,1150,541,25,3438,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Iowa,Other,72,2393,50,15,0,107,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Iowa,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Kansas,Total - All Places of Death,7157,61443,5980,3278,136,9992,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Kansas,"Healthcare setting, inpatient",4373,17839,4249,2593,82,6108,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Kansas,"Healthcare setting, outpatient or emergency room",181,2548,148,65,,267,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Kansas,"Healthcare setting, dead on arrival",,59,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Kansas,Decedent's home,604,19248,455,157,17,919,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Kansas,Hospice facility,117,2952,235,50,12,314,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Kansas,Nursing home/long term care facility,1791,15550,826,396,22,2243,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Kansas,Other,90,3247,67,17,0,140,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Kansas,Place of death unknown,0,0,0,0,0,0,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Kentucky,Total - All Places of Death,12555,111341,13786,6831,162,19663,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Kentucky,"Healthcare setting, inpatient",8693,38395,10989,5911,111,13874,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Kentucky,"Healthcare setting, outpatient or emergency room",467,8396,357,144,,687,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Kentucky,"Healthcare setting, dead on arrival",,155,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Kentucky,Decedent's home,1067,36280,974,301,24,1764,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Kentucky,Hospice facility,416,8094,508,117,15,822,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Kentucky,Nursing home/long term care facility,1799,14759,869,323,,2348,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Kentucky,Other,110,5253,87,33,0,164,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Kentucky,Place of death unknown,,,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Louisiana,Total - All Places of Death,13724,109474,11104,7205,109,17720,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Louisiana,"Healthcare setting, inpatient",10250,34861,8532,5929,80,12923,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Louisiana,"Healthcare setting, outpatient or emergency room",606,7200,494,263,,842,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Louisiana,"Healthcare setting, dead on arrival",,77,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Louisiana,Decedent's home,1102,39918,781,321,17,1578,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Louisiana,Hospice facility,356,5310,327,181,,506,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Louisiana,Nursing home/long term care facility,1259,15056,857,467,,1650,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Louisiana,Other,149,7052,111,43,,218,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Louisiana,Place of death unknown,0,0,0,0,0,0,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Maine,Total - All Places of Death,1830,32500,2263,515,40,3618,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Maine,"Healthcare setting, inpatient",994,7542,1418,411,26,2027,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Maine,"Healthcare setting, outpatient or emergency room",43,1023,52,,,91,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Maine,"Healthcare setting, dead on arrival",,16,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Maine,Decedent's home,161,12149,273,28,,410,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Maine,Hospice facility,38,3271,130,,,161,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
