Data As Of,Start Date,End Date,Group,State,Place of Death,COVID-19 Deaths
11/23/2022,01/01/2020,11/19/2022,By Total,Arkansas,Nursing home/long term care facility,1882
11/23/2022,01/01/2020,11/19/2022,By Total,Arkansas,Other,146
11/23/2022,01/01/2020,11/19/2022,By Total,Arkansas,Place of death unknown,0
11/23/2022,01/01/2020,11/19/2022,By Total,California,Total - All Places of Death,101746
11/23/2022,01/01/2020,11/19/2022,By Total,California,"Healthcare setting, inpatient",72758
11/23/2022,01/01/2020,11/19/2022,By Total,California,"Healthcare setting, outpatient or emergency room",3946
11/23/2022,01/01/2020,11/19/2022,By Total,California,"Healthcare setting, dead on arrival",26
11/23/2022,01/01/2020,11/19/2022,By Total,California,Decedent's home,11270
11/23/2022,01/01/2020,11/19/2022,By Total,California,Hospice facility,415
11/23/2022,01/01/2020,11/19/2022,By Total,California,Nursing home/long term care facility,9059
11/23/2022,01/01/2020,11/19/2022,By Total,California,Other,4271
11/23/2022,01/01/2020,11/19/2022,By Total,California,Place of death unknown,
11/23/2022,01/01/2020,11/19/2022,By Total,Colorado,Total - All Places of Death,14279
11/23/2022,01/01/2020,11/19/2022,By Total,Colorado,"Healthcare setting, inpatient",8046
11/23/2022,01/01/2020,11/19/2022,By Total,Colorado,"Healthcare setting, outpatient or emergency room",332
11/23/2022,01/01/2020,11/19/2022,By Total,Colorado,"Healthcare setting, dead on arrival",14
11/23/2022,01/01/2020,11/19/2022,By Total,Colorado,Decedent's home,2182
11/23/2022,01/01/2020,11/19/2022,By Total,Colorado,Hospice facility,413
11/23/2022,01/01/2020,11/19/2022,By Total,Colorado,Nursing home/long term care facility,2989
11/23/2022,01/01/2020,11/19/2022,By Total,Colorado,Other,303
11/23/2022,01/01/2020,11/19/2022,By Total,Colorado,Place of death unknown,0
11/23/2022,01/01/2020,11/19/2022,By Total,Connecticut,Total - All Places of Death,11719
11/23/2022,01/01/2020,11/19/2022,By Total,Connecticut,"Healthcare setting, inpatient",7031
11/23/2022,01/01/2020,11/19/2022,By Total,Connecticut,"Healthcare setting, outpatient or emergency room",433
11/23/2022,01/01/2020,11/19/2022,By Total,Connecticut,"Healthcare setting, dead on arrival",19
11/23/2022,01/01/2020,11/19/2022,By Total,Connecticut,Decedent's home,692
11/23/2022,01/01/2020,11/19/2022,By Total,Connecticut,Hospice facility,206
11/23/2022,01/01/2020,11/19/2022,By Total,Connecticut,Nursing home/long term care facility,3118
11/23/2022,01/01/2020,11/19/2022,By Total,Connecticut,Other,220
11/23/2022,01/01/2020,11/19/2022,By Total,Connecticut,Place of death unknown,0
11/23/2022,01/01/2020,11/19/2022,By Total,Delaware,Total - All Places of Death,3160
11/23/2022,01/01/2020,11/19/2022,By Total,Delaware,"Healthcare setting, inpatient",1964
11/23/2022,01/01/2020,11/19/2022,By Total,Delaware,"Healthcare setting, outpatient or emergency room",91
11/23/2022,01/01/2020,11/19/2022,By Total,Delaware,"Healthcare setting, dead on arrival",
11/23/2022,01/01/2020,11/19/2022,By Total,Delaware,Decedent's home,338
11/23/2022,01/01/2020,11/19/2022,By Total,Delaware,Hospice facility,165
11/23/2022,01/01/2020,11/19/2022,By Total,Delaware,Nursing home/long term care facility,579
11/23/2022,01/01/2020,11/19/2022,By Total,Delaware,Other,21
11/23/2022,01/01/2020,11/19/2022,By Total,Delaware,Place of death unknown,
11/23/2022,01/01/2020,11/19/2022,By Total,District of Columbia,Total - All Places of Death,2108
11/23/2022,01/01/2020,11/19/2022,By Total,District of Columbia,"Healthcare setting, inpatient",1628
11/23/2022,01/01/2020,11/19/2022,By Total,District of Columbia,"Healthcare setting, outpatient or emergency room",87
11/23/2022,01/01/2020,11/19/2022,By Total,District of Columbia,"Healthcare setting, dead on arrival",0
11/23/2022,01/01/2020,11/19/2022,By Total,District of Columbia,Decedent's home,175
11/23/2022,01/01/2020,11/19/2022,By Total,District of Columbia,Hospice facility,36
11/23/2022,01/01/2020,11/19/2022,By Total,District of Columbia,Nursing home/long term care facility,152
11/23/2022,01/01/2020,11/19/2022,By Total,District of Columbia,Other,30
11/23/2022,01/01/2020,11/19/2022,By Total,District of Columbia,Place of death unknown,0
11/23/2022,01/01/2020,11/19/2022,By Total,Florida,Total - All Places of Death,76497
11/23/2022,01/01/2020,11/19/2022,By Total,Florida,"Healthcare setting, inpatient",52576
11/23/2022,01/01/2020,11/19/2022,By Total,Florida,"Healthcare setting, outpatient or emergency room",2519
11/23/2022,01/01/2020,11/19/2022,By Total,Florida,"Healthcare setting, dead on arrival",33
11/23/2022,01/01/2020,11/19/2022,By Total,Florida,Decedent's home,5264
11/23/2022,01/01/2020,11/19/2022,By Total,Florida,Hospice facility,9229
11/23/2022,01/01/2020,11/19/2022,By Total,Florida,Nursing home/long term care facility,3842
11/23/2022,01/01/2020,11/19/2022,By Total,Florida,Other,3034
11/23/2022,01/01/2020,11/19/2022,By Total,Florida,Place of death unknown,0
11/23/2022,01/01/2020,11/19/2022,By Total,Georgia,Total - All Places of Death,34454
11/23/2022,01/01/2020,11/19/2022,By Total,Georgia,"Healthcare setting, inpatient",24178
11/23/2022,01/01/2020,11/19/2022,By Total,Georgia,"Healthcare setting, outpatient or emergency room",1836
11/23/2022,01/01/2020,11/19/2022,By Total,Georgia,"Healthcare setting, dead on arrival",63
11/23/2022,01/01/2020,11/19/2022,By Total,Georgia,Decedent's home,3152
11/23/2022,01/01/2020,11/19/2022,By Total,Georgia,Hospice facility,1602
11/23/2022,01/01/2020,11/19/2022,By Total,Georgia,Nursing home/long term care facility,3129
11/23/2022,01/01/2020,11/19/2022,By Total,Georgia,Other,494
11/23/2022,01/01/2020,11/19/2022,By Total,Georgia,Place of death unknown,0
11/23/2022,01/01/2020,11/19/2022,By Total,Hawaii,Total - All Places of Death,1685
11/23/2022,01/01/2020,11/19/2022,By Total,Hawaii,"Healthcare setting, inpatient",1124
11/23/2022,01/01/2020,11/19/2022,By Total,Hawaii,"Healthcare setting, outpatient or emergency room",116
11/23/2022,01/01/2020,11/19/2022,By Total,Hawaii,"Healthcare setting, dead on arrival",30
11/23/2022,01/01/2020,11/19/2022,By Total,Hawaii,Decedent's home,247
11/23/2022,01/01/2020,11/19/2022,By Total,Hawaii,Hospice facility,25
11/23/2022,01/01/2020,11/19/2022,By Total,Hawaii,Nursing home/long term care facility,85
11/23/2022,01/01/2020,11/19/2022,By Total,Hawaii,Other,58
11/23/2022,01/01/2020,11/19/2022,By Total,Hawaii,Place of death unknown,0
11/23/2022,01/01/2020,11/19/2022,By Total,Idaho,Total - All Places of Death,5324
11/23/2022,01/01/2020,11/19/2022,By Total,Idaho,"Healthcare setting, inpatient",3104
11/23/2022,01/01/2020,11/19/2022,By Total,Idaho,"Healthcare setting, outpatient or emergency room",109
11/23/2022,01/01/2020,11/19/2022,By Total,Idaho,"Healthcare setting, dead on arrival",0
11/23/2022,01/01/2020,11/19/2022,By Total,Idaho,Decedent's home,877
11/23/2022,01/01/2020,11/19/2022,By Total,Idaho,Hospice facility,171
11/23/2022,01/01/2020,11/19/2022,By Total,Idaho,Nursing home/long term care facility,999
11/23/2022,01/01/2020,11/19/2022,By Total,Idaho,Other,64
11/23/2022,01/01/2020,11/19/2022,By Total,Idaho,Place of death unknown,0
11/23/2022,01/01/2020,11/19/2022,By Total,Illinois,Total - All Places of Death,36541
11/23/2022,01/01/2020,11/19/2022,By Total,Illinois,"Healthcare setting, inpatient",23989
11/23/2022,01/01/2020,11/19/2022,By Total,Illinois,"Healthcare setting, outpatient or emergency room",1497
11/23/2022,01/01/2020,11/19/2022,By Total,Illinois,"Healthcare setting, dead on arrival",29
11/23/2022,01/01/2020,11/19/2022,By Total,Illinois,Decedent's home,3269
11/23/2022,01/01/2020,11/19/2022,By Total,Illinois,Hospice facility,840
11/23/2022,01/01/2020,11/19/2022,By Total,Illinois,Nursing home/long term care facility,5971
11/23/2022,01/01/2020,11/19/2022,By Total,Illinois,Other,946
11/23/2022,01/01/2020,11/19/2022,By Total,Illinois,Place of death unknown,0
11/23/2022,01/01/2020,11/19/2022,By Total,Indiana,Total - All Places of Death,25288
11/23/2022,01/01/2020,11/19/2022,By Total,Indiana,"Healthcare setting, inpatient",15399
11/23/2022,01/01/2020,11/19/2022,By Total,Indiana,"Healthcare setting, outpatient or emergency room",586
11/23/2022,01/01/2020,11/19/2022,By Total,Indiana,"Healthcare setting, dead on arrival",
11/23/2022,01/01/2020,11/19/2022,By Total,Indiana,Decedent's home,2390
11/23/2022,01/01/2020,11/19/2022,By Total,Indiana,Hospice facility,396
11/23/2022,01/01/2020,11/19/2022,By Total,Indiana,Nursing home/long term care facility,6145
11/23/2022,01/01/2020,11/19/2022,By Total,Indiana,Other,365
11/23/2022,01/01/2020,11/19/2022,By Total,Indiana,Place of death unknown,0
11/23/2022,01/01/2020,11/19/2022,By Total,Iowa,Total - All Places of Death,10287
11/23/2022,01/01/2020,11/19/2022,By Total,Iowa,"Healthcare setting, inpatient",5374
11/23/2022,01/01/2020,11/19/2022,By Total,Iowa,"Healthcare setting, outpatient or emergency room",295
11/23/2022,01/01/2020,11/19/2022,By Total,Iowa,"Healthcare setting, dead on arrival",
11/23/2022,01/01/2020,11/19/2022,By Total,Iowa,Decedent's home,888
11/23/2022,01/01/2020,11/19/2022,By Total,Iowa,Hospice facility,296
11/23/2022,01/01/2020,11/19/2022,By Total,Iowa,Nursing home/long term care facility,3310
11/23/2022,01/01/2020,11/19/2022,By Total,Iowa,Other,119
11/23/2022,01/01/2020,11/19/2022,By Total,Iowa,Place of death unknown,0
11/23/2022,01/01/2020,11/19/2022,By Total,Kansas,Total - All Places of Death,9496
11/23/2022,01/01/2020,11/19/2022,By Total,Kansas,"Healthcare setting, inpatient",5758
11/23/2022,01/01/2020,11/19/2022,By Total,Kansas,"Healthcare setting, outpatient or emergency room",267
11/23/2022,01/01/2020,11/19/2022,By Total,Kansas,"Healthcare setting, dead on arrival",
11/23/2022,01/01/2020,11/19/2022,By Total,Kansas,Decedent's home,919
11/23/2022,01/01/2020,11/19/2022,By Total,Kansas,Hospice facility,179
11/23/2022,01/01/2020,11/19/2022,By Total,Kansas,Nursing home/long term care facility,2238
11/23/2022,01/01/2020,11/19/2022,By Total,Kansas,Other,133
11/23/2022,01/01/2020,11/19/2022,By Total,Kansas,Place of death unknown,0
11/23/2022,01/01/2020,11/19/2022,By Total,Kentucky,Total - All Places of Death,18481
11/23/2022,01/01/2020,11/19/2022,By Total,Kentucky,"Healthcare setting, inpatient",12312
11/23/2022,01/01/2020,11/19/2022,By Total,Kentucky,"Healthcare setting, outpatient or emergency room",716
11/23/2022,01/01/2020,11/19/2022,By Total,Kentucky,"Healthcare setting, dead on arrival",
11/23/2022,01/01/2020,11/19/2022,By Total,Kentucky,Decedent's home,2099
11/23/2022,01/01/2020,11/19/2022,By Total,Kentucky,Hospice facility,702
11/23/2022,01/01/2020,11/19/2022,By Total,Kentucky,Nursing home/long term care facility,2458
11/23/2022,01/01/2020,11/19/2022,By Total,Kentucky,Other,189
11/23/2022,01/01/2020,11/19/2022,By Total,Kentucky,Place of death unknown,
11/23/2022,01/01/2020,11/19/2022,By Total,Louisiana,Total - All Places of Death,16853
11/23/2022,01/01/2020,11/19/2022,By Total,Louisiana,"Healthcare setting, inpatient",12141
11/23/2022,01/01/2020,11/19/2022,By Total,Louisiana,"Healthcare setting, outpatient or emergency room",782
11/23/2022,01/01/2020,11/19/2022,By Total,Louisiana,"Healthcare setting, dead on arrival",
11/23/2022,01/01/2020,11/19/2022,By Total,Louisiana,Decedent's home,1610
11/23/2022,01/01/2020,11/19/2022,By Total,Louisiana,Hospice facility,442
11/23/2022,01/01/2020,11/19/2022,By Total,Louisiana,Nursing home/long term care facility,1675
11/23/2022,01/01/2020,11/19/2022,By Total,Louisiana,Other,200
11/23/2022,01/01/2020,11/19/2022,By Total,Louisiana,Place of death unknown,0
11/23/2022,01/01/2020,11/19/2022,By Total,Maine,Total - All Places of Death,2858
11/23/2022,01/01/2020,11/19/2022,By Total,Maine,"Healthcare setting, inpatient",1540
11/23/2022,01/01/2020,11/19/2022,By Total,Maine,"Healthcare setting, outpatient or emergency room",74
11/23/2022,01/01/2020,11/19/2022,By Total,Maine,"Healthcare setting, dead on arrival",
11/23/2022,01/01/2020,11/19/2022,By Total,Maine,Decedent's home,317
11/23/2022,01/01/2020,11/19/2022,By Total,Maine,Hospice facility,84
11/23/2022,01/01/2020,11/19/2022,By Total,Maine,Nursing home/long term care facility,806
11/23/2022,01/01/2020,11/19/2022,By Total,Maine,Other,32
11/23/2022,01/01/2020,11/19/2022,By Total,Maine,Place of death unknown,
11/23/2022,01/01/2020,11/19/2022,By Total,Maryland,Total - All Places of Death,16753
11/23/2022,01/01/2020,11/19/2022,By Total,Maryland,"Healthcare setting, inpatient",9839
11/23/2022,01/01/2020,11/19/2022,By Total,Maryland,"Healthcare setting, outpatient or emergency room",638
11/23/2022,01/01/2020,11/19/2022,By Total,Maryland,"Healthcare setting, dead on arrival",
11/23/2022,01/01/2020,11/19/2022,By Total,Maryland,Decedent's home,1453
11/23/2022,01/01/2020,11/19/2022,By Total,Maryland,Hospice facility,1363
11/23/2022,01/01/2020,11/19/2022,By Total,Maryland,Nursing home/long term care facility,2765
11/23/2022,01/01/2020,11/19/2022,By Total,Maryland,Other,686
11/23/2022,01/01/2020,11/19/2022,By Total,Maryland,Place of death unknown,0
11/23/2022,01/01/2020,11/19/2022,By Total,Massachusetts,Total - All Places of Death,19681
11/23/2022,01/01/2020,11/19/2022,By Total,Massachusetts,"Healthcare setting, inpatient",11609
11/23/2022,01/01/2020,11/19/2022,By Total,Massachusetts,"Healthcare setting, outpatient or emergency room",640
11/23/2022,01/01/2020,11/19/2022,By Total,Massachusetts,"Healthcare setting, dead on arrival",24
11/23/2022,01/01/2020,11/19/2022,By Total,Massachusetts,Decedent's home,1250
11/23/2022,01/01/2020,11/19/2022,By Total,Massachusetts,Hospice facility,202
11/23/2022,01/01/2020,11/19/2022,By Total,Massachusetts,Nursing home/long term care facility,5385
11/23/2022,01/01/2020,11/19/2022,By Total,Massachusetts,Other,571
11/23/2022,01/01/2020,11/19/2022,By Total,Massachusetts,Place of death unknown,0
11/23/2022,01/01/2020,11/19/2022,By Total,Michigan,Total - All Places of Death,34597
11/23/2022,01/01/2020,11/19/2022,By Total,Michigan,"Healthcare setting, inpatient",23482
11/23/2022,01/01/2020,11/19/2022,By Total,Michigan,"Healthcare setting, outpatient or emergency room",1497
11/23/2022,01/01/2020,11/19/2022,By Total,Michigan,"Healthcare setting, dead on arrival",16
11/23/2022,01/01/2020,11/19/2022,By Total,Michigan,Decedent's home,4020
11/23/2022,01/01/2020,11/19/2022,By Total,Michigan,Hospice facility,1088
11/23/2022,01/01/2020,11/19/2022,By Total,Michigan,Nursing home/long term care facility,4168
11/23/2022,01/01/2020,11/19/2022,By Total,Michigan,Other,325
11/23/2022,01/01/2020,11/19/2022,By Total,Michigan,Place of death unknown,
11/23/2022,01/01/2020,11/19/2022,By Total,Minnesota,Total - All Places of Death,13995
11/23/2022,01/01/2020,11/19/2022,By Total,Minnesota,"Healthcare setting, inpatient",7086
11/23/2022,01/01/2020,11/19/2022,By Total,Minnesota,"Healthcare setting, outpatient or emergency room",289
11/23/2022,01/01/2020,11/19/2022,By Total,Minnesota,"Healthcare setting, dead on arrival",10
11/23/2022,01/01/2020,11/19/2022,By Total,Minnesota,Decedent's home,1703
11/23/2022,01/01/2020,11/19/2022,By Total,Minnesota,Hospice facility,109
11/23/2022,01/01/2020,11/19/2022,By Total,Minnesota,Nursing home/long term care facility,4560
11/23/2022,01/01/2020,11/19/2022,By Total,Minnesota,Other,236
11/23/2022,01/01/2020,11/19/2022,By Total,Minnesota,Place of death unknown,
11/23/2022,01/01/2020,11/19/2022,By Total,Mississippi,Total - All Places of Death,14076
11/23/2022,01/01/2020,11/19/2022,By Total,Mississippi,"Healthcare setting, inpatient",9679
11/23/2022,01/01/2020,11/19/2022,By Total,Mississippi,"Healthcare setting, outpatient or emergency room",837
11/23/2022,01/01/2020,11/19/2022,By Total,Mississippi,"Healthcare setting, dead on arrival",15
11/23/2022,01/01/2020,11/19/2022,By Total,Mississippi,Decedent's home,1449
11/23/2022,01/01/2020,11/19/2022,By Total,Mississippi,Hospice facility,298
11/23/2022,01/01/2020,11/19/2022,By Total,Mississippi,Nursing home/long term care facility,1618
11/23/2022,01/01/2020,11/19/2022,By Total,Mississippi,Other,180
11/23/2022,01/01/2020,11/19/2022,By Total,Mississippi,Place of death unknown,0
11/23/2022,01/01/2020,11/19/2022,By Total,Missouri,Total - All Places of Death,21935
11/23/2022,01/01/2020,11/19/2022,By Total,Missouri,"Healthcare setting, inpatient",14461
11/23/2022,01/01/2020,11/19/2022,By Total,Missouri,"Healthcare setting, outpatient or emergency room",654
11/23/2022,01/01/2020,11/19/2022,By Total,Missouri,"Healthcare setting, dead on arrival",
11/23/2022,01/01/2020,11/19/2022,By Total,Missouri,Decedent's home,1933
11/23/2022,01/01/2020,11/19/2022,By Total,Missouri,Hospice facility,327
11/23/2022,01/01/2020,11/19/2022,By Total,Missouri,Nursing home/long term care facility,4361
11/23/2022,01/01/2020,11/19/2022,By Total,Missouri,Other,195
11/23/2022,01/01/2020,11/19/2022,By Total,Missouri,Place of death unknown,0
11/23/2022,01/01/2020,11/19/2022,By Total,Montana,Total - All Places of Death,3758
11/23/2022,01/01/2020,11/19/2022,By Total,Montana,"Healthcare setting, inpatient",2482
11/23/2022,01/01/2020,11/19/2022,By Total,Montana,"Healthcare setting, outpatient or emergency room",84
11/23/2022,01/01/2020,11/19/2022,By Total,Montana,"Healthcare setting, dead on arrival",
11/23/2022,01/01/2020,11/19/2022,By Total,Montana,Decedent's home,408
11/23/2022,01/01/2020,11/19/2022,By Total,Montana,Hospice facility,75
11/23/2022,01/01/2020,11/19/2022,By Total,Montana,Nursing home/long term care facility,682
11/23/2022,01/01/2020,11/19/2022,By Total,Montana,Other,24
11/23/2022,01/01/2020,11/19/2022,By Total,Montana,Place of death unknown,0
11/23/2022,01/01/2020,11/19/2022,By Total,Nebraska,Total - All Places of Death,5280
11/23/2022,01/01/2020,11/19/2022,By Total,Nebraska,"Healthcare setting, inpatient",3263
11/23/2022,01/01/2020,11/19/2022,By Total,Nebraska,"Healthcare setting, outpatient or emergency room",148
11/23/2022,01/01/2020,11/19/2022,By Total,Nebraska,"Healthcare setting, dead on arrival",0
11/23/2022,01/01/2020,11/19/2022,By Total,Nebraska,Decedent's home,467
11/23/2022,01/01/2020,11/19/2022,By Total,Nebraska,Hospice facility,68
11/23/2022,01/01/2020,11/19/2022,By Total,Nebraska,Nursing home/long term care facility,1080
11/23/2022,01/01/2020,11/19/2022,By Total,Nebraska,Other,254
11/23/2022,01/01/2020,11/19/2022,By Total,Nebraska,Place of death unknown,0
11/23/2022,01/01/2020,11/19/2022,By Total,Nevada,Total - All Places of Death,11637
11/23/2022,01/01/2020,11/19/2022,By Total,Nevada,"Healthcare setting, inpatient",8435
11/23/2022,01/01/2020,11/19/2022,By Total,Nevada,"Healthcare setting, outpatient or emergency room",420
11/23/2022,01/01/2020,11/19/2022,By Total,Nevada,"Healthcare setting, dead on arrival",
11/23/2022,01/01/2020,11/19/2022,By Total,Nevada,Decedent's home,1222
11/23/2022,01/01/2020,11/19/2022,By Total,Nevada,Hospice facility,1120
11/23/2022,01/01/2020,11/19/2022,By Total,Nevada,Nursing home/long term care facility,318
11/23/2022,01/01/2020,11/19/2022,By Total,Nevada,Other,121
11/23/2022,01/01/2020,11/19/2022,By Total,Nevada,Place of death unknown,0
11/23/2022,01/01/2020,11/19/2022,By Total,New Hampshire,Total - All Places of Death,2764
11/23/2022,01/01/2020,11/19/2022,By Total,New Hampshire,"Healthcare setting, inpatient",1393
11/23/2022,01/01/2020,11/19/2022,By Total,New Hampshire,"Healthcare setting, outpatient or emergency room",64
11/23/2022,01/01/2020,11/19/2022,By Total,New Hampshire,"Healthcare setting, dead on arrival",
11/23/2022,01/01/2020,11/19/2022,By Total,New Hampshire,Decedent's home,286
11/23/2022,01/01/2020,11/19/2022,By Total,New Hampshire,Hospice facility,36
11/23/2022,01/01/2020,11/19/2022,By Total,New Hampshire,Nursing home/long term care facility,917
11/23/2022,01/01/2020,11/19/2022,By Total,New Hampshire,Other,66
11/23/2022,01/01/2020,11/19/2022,By Total,New Hampshire,Place of death unknown,
11/23/2022,01/01/2020,11/19/2022,By Total,New Jersey,Total - All Places of Death,33739
11/23/2022,01/01/2020,11/19/2022,By Total,New Jersey,"Healthcare setting, inpatient",23065
11/23/2022,01/01/2020,11/19/2022,By Total,New Jersey,"Healthcare setting, outpatient or emergency room",992
11/23/2022,01/01/2020,11/19/2022,By Total,New Jersey,"Healthcare setting, dead on arrival",45
11/23/2022,01/01/2020,11/19/2022,By Total,New Jersey,Decedent's home,2336
11/23/2022,01/01/2020,11/19/2022,By Total,New Jersey,Hospice facility,749
11/23/2022,01/01/2020,11/19/2022,By Total,New Jersey,Nursing home/long term care facility,6091
11/23/2022,01/01/2020,11/19/2022,By Total,New Jersey,Other,460
11/23/2022,01/01/2020,11/19/2022,By Total,New Jersey,Place of death unknown,
11/23/2022,01/01/2020,11/19/2022,By Total,New Mexico,Total - All Places of Death,8314
11/23/2022,01/01/2020,11/19/2022,By Total,New Mexico,"Healthcare setting, inpatient",5260
11/23/2022,01/01/2020,11/19/2022,By Total,New Mexico,"Healthcare setting, outpatient or emergency room",319
11/23/2022,01/01/2020,11/19/2022,By Total,New Mexico,"Healthcare setting, dead on arrival",
11/23/2022,01/01/2020,11/19/2022,By Total,New Mexico,Decedent's home,1353
11/23/2022,01/01/2020,11/19/2022,By Total,New Mexico,Hospice facility,93
11/23/2022,01/01/2020,11/19/2022,By Total,New Mexico,Nursing home/long term care facility,1033
11/23/2022,01/01/2020,11/19/2022,By Total,New Mexico,Other,249
11/23/2022,01/01/2020,11/19/2022,By Total,New Mexico,Place of death unknown,0
11/23/2022,01/01/2020,11/19/2022,By Total,New York,Total - All Places of Death,39152
11/23/2022,01/01/2020,11/19/2022,By Total,New York,"Healthcare setting, inpatient",24218
11/23/2022,01/01/2020,11/19/2022,By Total,New York,"Healthcare setting, outpatient or emergency room",1320
11/23/2022,01/01/2020,11/19/2022,By Total,New York,"Healthcare setting, dead on arrival",98
11/23/2022,01/01/2020,11/19/2022,By Total,New York,Decedent's home,3070
11/23/2022,01/01/2020,11/19/2022,By Total,New York,Hospice facility,1861
11/23/2022,01/01/2020,11/19/2022,By Total,New York,Nursing home/long term care facility,8198
11/23/2022,01/01/2020,11/19/2022,By Total,New York,Other,378
11/23/2022,01/01/2020,11/19/2022,By Total,New York,Place of death unknown,
11/23/2022,01/01/2020,11/19/2022,By Total,New York City,Total - All Places of Death,36534
11/23/2022,01/01/2020,11/19/2022,By Total,New York City,"Healthcare setting, inpatient",27367
11/23/2022,01/01/2020,11/19/2022,By Total,New York City,"Healthcare setting, outpatient or emergency room",2129
11/23/2022,01/01/2020,11/19/2022,By Total,New York City,"Healthcare setting, dead on arrival",67
11/23/2022,01/01/2020,11/19/2022,By Total,New York City,Decedent's home,3616
11/23/2022,01/01/2020,11/19/2022,By Total,New York City,Hospice facility,58
11/23/2022,01/01/2020,11/19/2022,By Total,New York City,Nursing home/long term care facility,3226
11/23/2022,01/01/2020,11/19/2022,By Total,New York City,Other,71
11/23/2022,01/01/2020,11/19/2022,By Total,New York City,Place of death unknown,0
11/23/2022,01/01/2020,11/19/2022,By Total,North Carolina,Total - All Places of Death,31674
11/23/2022,01/01/2020,11/19/2022,By Total,North Carolina,"Healthcare setting, inpatient",21187
11/23/2022,01/01/2020,11/19/2022,By Total,North Carolina,"Healthcare setting, outpatient or emergency room",768
11/23/2022,01/01/2020,11/19/2022,By Total,North Carolina,"Healthcare setting, dead on arrival",50
11/23/2022,01/01/2020,11/19/2022,By Total,North Carolina,Decedent's home,2895
11/23/2022,01/01/2020,11/19/2022,By Total,North Carolina,Hospice facility,1747
11/23/2022,01/01/2020,11/19/2022,By Total,North Carolina,Nursing home/long term care facility,4274
