Data As Of,Start Date,End Date,Group,State,Place of Death,COVID-19 Deaths
10/26/2022,01/01/2020,10/22/2022,By Total,Florida,"Healthcare setting, outpatient or emergency room",2505
10/26/2022,01/01/2020,10/22/2022,By Total,Florida,"Healthcare setting, dead on arrival",33
10/26/2022,01/01/2020,10/22/2022,By Total,Florida,Decedent's home,5162
10/26/2022,01/01/2020,10/22/2022,By Total,Florida,Hospice facility,9110
10/26/2022,01/01/2020,10/22/2022,By Total,Florida,Nursing home/long term care facility,3772
10/26/2022,01/01/2020,10/22/2022,By Total,Florida,Other,3002
10/26/2022,01/01/2020,10/22/2022,By Total,Florida,Place of death unknown,0
10/26/2022,01/01/2020,10/22/2022,By Total,Georgia,Total - All Places of Death,34234
10/26/2022,01/01/2020,10/22/2022,By Total,Georgia,"Healthcare setting, inpatient",24107
10/26/2022,01/01/2020,10/22/2022,By Total,Georgia,"Healthcare setting, outpatient or emergency room",1815
10/26/2022,01/01/2020,10/22/2022,By Total,Georgia,"Healthcare setting, dead on arrival",63
10/26/2022,01/01/2020,10/22/2022,By Total,Georgia,Decedent's home,3095
10/26/2022,01/01/2020,10/22/2022,By Total,Georgia,Hospice facility,1571
10/26/2022,01/01/2020,10/22/2022,By Total,Georgia,Nursing home/long term care facility,3096
10/26/2022,01/01/2020,10/22/2022,By Total,Georgia,Other,487
10/26/2022,01/01/2020,10/22/2022,By Total,Georgia,Place of death unknown,0
10/26/2022,01/01/2020,10/22/2022,By Total,Hawaii,Total - All Places of Death,1659
10/26/2022,01/01/2020,10/22/2022,By Total,Hawaii,"Healthcare setting, inpatient",1113
10/26/2022,01/01/2020,10/22/2022,By Total,Hawaii,"Healthcare setting, outpatient or emergency room",113
10/26/2022,01/01/2020,10/22/2022,By Total,Hawaii,"Healthcare setting, dead on arrival",30
10/26/2022,01/01/2020,10/22/2022,By Total,Hawaii,Decedent's home,242
10/26/2022,01/01/2020,10/22/2022,By Total,Hawaii,Hospice facility,22
10/26/2022,01/01/2020,10/22/2022,By Total,Hawaii,Nursing home/long term care facility,84
10/26/2022,01/01/2020,10/22/2022,By Total,Hawaii,Other,55
10/26/2022,01/01/2020,10/22/2022,By Total,Hawaii,Place of death unknown,0
10/26/2022,01/01/2020,10/22/2022,By Total,Idaho,Total - All Places of Death,5282
10/26/2022,01/01/2020,10/22/2022,By Total,Idaho,"Healthcare setting, inpatient",3085
10/26/2022,01/01/2020,10/22/2022,By Total,Idaho,"Healthcare setting, outpatient or emergency room",109
10/26/2022,01/01/2020,10/22/2022,By Total,Idaho,"Healthcare setting, dead on arrival",0
10/26/2022,01/01/2020,10/22/2022,By Total,Idaho,Decedent's home,868
10/26/2022,01/01/2020,10/22/2022,By Total,Idaho,Hospice facility,170
10/26/2022,01/01/2020,10/22/2022,By Total,Idaho,Nursing home/long term care facility,986
10/26/2022,01/01/2020,10/22/2022,By Total,Idaho,Other,64
10/26/2022,01/01/2020,10/22/2022,By Total,Idaho,Place of death unknown,0
10/26/2022,01/01/2020,10/22/2022,By Total,Illinois,Total - All Places of Death,36248
10/26/2022,01/01/2020,10/22/2022,By Total,Illinois,"Healthcare setting, inpatient",23860
10/26/2022,01/01/2020,10/22/2022,By Total,Illinois,"Healthcare setting, outpatient or emergency room",1482
10/26/2022,01/01/2020,10/22/2022,By Total,Illinois,"Healthcare setting, dead on arrival",29
10/26/2022,01/01/2020,10/22/2022,By Total,Illinois,Decedent's home,3217
10/26/2022,01/01/2020,10/22/2022,By Total,Illinois,Hospice facility,821
10/26/2022,01/01/2020,10/22/2022,By Total,Illinois,Nursing home/long term care facility,5906
10/26/2022,01/01/2020,10/22/2022,By Total,Illinois,Other,933
10/26/2022,01/01/2020,10/22/2022,By Total,Illinois,Place of death unknown,0
10/26/2022,01/01/2020,10/22/2022,By Total,Indiana,Total - All Places of Death,25055
10/26/2022,01/01/2020,10/22/2022,By Total,Indiana,"Healthcare setting, inpatient",15308
10/26/2022,01/01/2020,10/22/2022,By Total,Indiana,"Healthcare setting, outpatient or emergency room",577
10/26/2022,01/01/2020,10/22/2022,By Total,Indiana,"Healthcare setting, dead on arrival",
10/26/2022,01/01/2020,10/22/2022,By Total,Indiana,Decedent's home,2350
10/26/2022,01/01/2020,10/22/2022,By Total,Indiana,Hospice facility,388
10/26/2022,01/01/2020,10/22/2022,By Total,Indiana,Nursing home/long term care facility,6063
10/26/2022,01/01/2020,10/22/2022,By Total,Indiana,Other,362
10/26/2022,01/01/2020,10/22/2022,By Total,Indiana,Place of death unknown,0
10/26/2022,01/01/2020,10/22/2022,By Total,Iowa,Total - All Places of Death,10182
10/26/2022,01/01/2020,10/22/2022,By Total,Iowa,"Healthcare setting, inpatient",5331
10/26/2022,01/01/2020,10/22/2022,By Total,Iowa,"Healthcare setting, outpatient or emergency room",291
10/26/2022,01/01/2020,10/22/2022,By Total,Iowa,"Healthcare setting, dead on arrival",
10/26/2022,01/01/2020,10/22/2022,By Total,Iowa,Decedent's home,869
10/26/2022,01/01/2020,10/22/2022,By Total,Iowa,Hospice facility,292
10/26/2022,01/01/2020,10/22/2022,By Total,Iowa,Nursing home/long term care facility,3276
10/26/2022,01/01/2020,10/22/2022,By Total,Iowa,Other,118
10/26/2022,01/01/2020,10/22/2022,By Total,Iowa,Place of death unknown,0
10/26/2022,01/01/2020,10/22/2022,By Total,Kansas,Total - All Places of Death,9420
10/26/2022,01/01/2020,10/22/2022,By Total,Kansas,"Healthcare setting, inpatient",5720
10/26/2022,01/01/2020,10/22/2022,By Total,Kansas,"Healthcare setting, outpatient or emergency room",264
10/26/2022,01/01/2020,10/22/2022,By Total,Kansas,"Healthcare setting, dead on arrival",
10/26/2022,01/01/2020,10/22/2022,By Total,Kansas,Decedent's home,907
10/26/2022,01/01/2020,10/22/2022,By Total,Kansas,Hospice facility,179
10/26/2022,01/01/2020,10/22/2022,By Total,Kansas,Nursing home/long term care facility,2216
10/26/2022,01/01/2020,10/22/2022,By Total,Kansas,Other,132
10/26/2022,01/01/2020,10/22/2022,By Total,Kansas,Place of death unknown,0
10/26/2022,01/01/2020,10/22/2022,By Total,Kentucky,Total - All Places of Death,18258
10/26/2022,01/01/2020,10/22/2022,By Total,Kentucky,"Healthcare setting, inpatient",12222
10/26/2022,01/01/2020,10/22/2022,By Total,Kentucky,"Healthcare setting, outpatient or emergency room",706
10/26/2022,01/01/2020,10/22/2022,By Total,Kentucky,"Healthcare setting, dead on arrival",
10/26/2022,01/01/2020,10/22/2022,By Total,Kentucky,Decedent's home,2038
10/26/2022,01/01/2020,10/22/2022,By Total,Kentucky,Hospice facility,687
10/26/2022,01/01/2020,10/22/2022,By Total,Kentucky,Nursing home/long term care facility,2416
10/26/2022,01/01/2020,10/22/2022,By Total,Kentucky,Other,184
10/26/2022,01/01/2020,10/22/2022,By Total,Kentucky,Place of death unknown,
10/26/2022,01/01/2020,10/22/2022,By Total,Louisiana,Total - All Places of Death,16752
10/26/2022,01/01/2020,10/22/2022,By Total,Louisiana,"Healthcare setting, inpatient",12094
10/26/2022,01/01/2020,10/22/2022,By Total,Louisiana,"Healthcare setting, outpatient or emergency room",775
10/26/2022,01/01/2020,10/22/2022,By Total,Louisiana,"Healthcare setting, dead on arrival",
10/26/2022,01/01/2020,10/22/2022,By Total,Louisiana,Decedent's home,1591
10/26/2022,01/01/2020,10/22/2022,By Total,Louisiana,Hospice facility,438
10/26/2022,01/01/2020,10/22/2022,By Total,Louisiana,Nursing home/long term care facility,1652
10/26/2022,01/01/2020,10/22/2022,By Total,Louisiana,Other,199
10/26/2022,01/01/2020,10/22/2022,By Total,Louisiana,Place of death unknown,0
10/26/2022,01/01/2020,10/22/2022,By Total,Maine,Total - All Places of Death,2793
10/26/2022,01/01/2020,10/22/2022,By Total,Maine,"Healthcare setting, inpatient",1512
10/26/2022,01/01/2020,10/22/2022,By Total,Maine,"Healthcare setting, outpatient or emergency room",72
10/26/2022,01/01/2020,10/22/2022,By Total,Maine,"Healthcare setting, dead on arrival",
10/26/2022,01/01/2020,10/22/2022,By Total,Maine,Decedent's home,308
10/26/2022,01/01/2020,10/22/2022,By Total,Maine,Hospice facility,80
10/26/2022,01/01/2020,10/22/2022,By Total,Maine,Nursing home/long term care facility,784
10/26/2022,01/01/2020,10/22/2022,By Total,Maine,Other,32
10/26/2022,01/01/2020,10/22/2022,By Total,Maine,Place of death unknown,
10/26/2022,01/01/2020,10/22/2022,By Total,Maryland,Total - All Places of Death,16577
10/26/2022,01/01/2020,10/22/2022,By Total,Maryland,"Healthcare setting, inpatient",9773
10/26/2022,01/01/2020,10/22/2022,By Total,Maryland,"Healthcare setting, outpatient or emergency room",627
10/26/2022,01/01/2020,10/22/2022,By Total,Maryland,"Healthcare setting, dead on arrival",
10/26/2022,01/01/2020,10/22/2022,By Total,Maryland,Decedent's home,1425
10/26/2022,01/01/2020,10/22/2022,By Total,Maryland,Hospice facility,1334
10/26/2022,01/01/2020,10/22/2022,By Total,Maryland,Nursing home/long term care facility,2733
10/26/2022,01/01/2020,10/22/2022,By Total,Maryland,Other,676
10/26/2022,01/01/2020,10/22/2022,By Total,Maryland,Place of death unknown,0
10/26/2022,01/01/2020,10/22/2022,By Total,Massachusetts,Total - All Places of Death,19444
10/26/2022,01/01/2020,10/22/2022,By Total,Massachusetts,"Healthcare setting, inpatient",11478
10/26/2022,01/01/2020,10/22/2022,By Total,Massachusetts,"Healthcare setting, outpatient or emergency room",632
10/26/2022,01/01/2020,10/22/2022,By Total,Massachusetts,"Healthcare setting, dead on arrival",24
10/26/2022,01/01/2020,10/22/2022,By Total,Massachusetts,Decedent's home,1211
10/26/2022,01/01/2020,10/22/2022,By Total,Massachusetts,Hospice facility,194
10/26/2022,01/01/2020,10/22/2022,By Total,Massachusetts,Nursing home/long term care facility,5348
10/26/2022,01/01/2020,10/22/2022,By Total,Massachusetts,Other,557
10/26/2022,01/01/2020,10/22/2022,By Total,Massachusetts,Place of death unknown,0
10/26/2022,01/01/2020,10/22/2022,By Total,Michigan,Total - All Places of Death,34083
10/26/2022,01/01/2020,10/22/2022,By Total,Michigan,"Healthcare setting, inpatient",23250
10/26/2022,01/01/2020,10/22/2022,By Total,Michigan,"Healthcare setting, outpatient or emergency room",1466
10/26/2022,01/01/2020,10/22/2022,By Total,Michigan,"Healthcare setting, dead on arrival",15
10/26/2022,01/01/2020,10/22/2022,By Total,Michigan,Decedent's home,3920
10/26/2022,01/01/2020,10/22/2022,By Total,Michigan,Hospice facility,1046
10/26/2022,01/01/2020,10/22/2022,By Total,Michigan,Nursing home/long term care facility,4065
10/26/2022,01/01/2020,10/22/2022,By Total,Michigan,Other,320
10/26/2022,01/01/2020,10/22/2022,By Total,Michigan,Place of death unknown,
10/26/2022,01/01/2020,10/22/2022,By Total,Minnesota,Total - All Places of Death,13761
10/26/2022,01/01/2020,10/22/2022,By Total,Minnesota,"Healthcare setting, inpatient",6986
10/26/2022,01/01/2020,10/22/2022,By Total,Minnesota,"Healthcare setting, outpatient or emergency room",283
10/26/2022,01/01/2020,10/22/2022,By Total,Minnesota,"Healthcare setting, dead on arrival",10
10/26/2022,01/01/2020,10/22/2022,By Total,Minnesota,Decedent's home,1676
10/26/2022,01/01/2020,10/22/2022,By Total,Minnesota,Hospice facility,102
10/26/2022,01/01/2020,10/22/2022,By Total,Minnesota,Nursing home/long term care facility,4470
10/26/2022,01/01/2020,10/22/2022,By Total,Minnesota,Other,232
10/26/2022,01/01/2020,10/22/2022,By Total,Minnesota,Place of death unknown,
10/26/2022,01/01/2020,10/22/2022,By Total,Mississippi,Total - All Places of Death,13981
10/26/2022,01/01/2020,10/22/2022,By Total,Mississippi,"Healthcare setting, inpatient",9642
10/26/2022,01/01/2020,10/22/2022,By Total,Mississippi,"Healthcare setting, outpatient or emergency room",828
10/26/2022,01/01/2020,10/22/2022,By Total,Mississippi,"Healthcare setting, dead on arrival",15
10/26/2022,01/01/2020,10/22/2022,By Total,Mississippi,Decedent's home,1427
10/26/2022,01/01/2020,10/22/2022,By Total,Mississippi,Hospice facility,295
10/26/2022,01/01/2020,10/22/2022,By Total,Mississippi,Nursing home/long term care facility,1598
10/26/2022,01/01/2020,10/22/2022,By Total,Mississippi,Other,176
10/26/2022,01/01/2020,10/22/2022,By Total,Mississippi,Place of death unknown,0
10/26/2022,01/01/2020,10/22/2022,By Total,Missouri,Total - All Places of Death,21727
10/26/2022,01/01/2020,10/22/2022,By Total,Missouri,"Healthcare setting, inpatient",14383
10/26/2022,01/01/2020,10/22/2022,By Total,Missouri,"Healthcare setting, outpatient or emergency room",642
10/26/2022,01/01/2020,10/22/2022,By Total,Missouri,"Healthcare setting, dead on arrival",
10/26/2022,01/01/2020,10/22/2022,By Total,Missouri,Decedent's home,1896
10/26/2022,01/01/2020,10/22/2022,By Total,Missouri,Hospice facility,323
10/26/2022,01/01/2020,10/22/2022,By Total,Missouri,Nursing home/long term care facility,4285
10/26/2022,01/01/2020,10/22/2022,By Total,Missouri,Other,194
10/26/2022,01/01/2020,10/22/2022,By Total,Missouri,Place of death unknown,0
10/26/2022,01/01/2020,10/22/2022,By Total,Montana,Total - All Places of Death,3729
10/26/2022,01/01/2020,10/22/2022,By Total,Montana,"Healthcare setting, inpatient",2464
10/26/2022,01/01/2020,10/22/2022,By Total,Montana,"Healthcare setting, outpatient or emergency room",84
10/26/2022,01/01/2020,10/22/2022,By Total,Montana,"Healthcare setting, dead on arrival",
10/26/2022,01/01/2020,10/22/2022,By Total,Montana,Decedent's home,403
10/26/2022,01/01/2020,10/22/2022,By Total,Montana,Hospice facility,75
10/26/2022,01/01/2020,10/22/2022,By Total,Montana,Nursing home/long term care facility,676
10/26/2022,01/01/2020,10/22/2022,By Total,Montana,Other,24
10/26/2022,01/01/2020,10/22/2022,By Total,Montana,Place of death unknown,0
10/26/2022,01/01/2020,10/22/2022,By Total,Nebraska,Total - All Places of Death,5238
10/26/2022,01/01/2020,10/22/2022,By Total,Nebraska,"Healthcare setting, inpatient",3246
10/26/2022,01/01/2020,10/22/2022,By Total,Nebraska,"Healthcare setting, outpatient or emergency room",147
10/26/2022,01/01/2020,10/22/2022,By Total,Nebraska,"Healthcare setting, dead on arrival",0
10/26/2022,01/01/2020,10/22/2022,By Total,Nebraska,Decedent's home,465
10/26/2022,01/01/2020,10/22/2022,By Total,Nebraska,Hospice facility,68
10/26/2022,01/01/2020,10/22/2022,By Total,Nebraska,Nursing home/long term care facility,1063
10/26/2022,01/01/2020,10/22/2022,By Total,Nebraska,Other,249
10/26/2022,01/01/2020,10/22/2022,By Total,Nebraska,Place of death unknown,0
10/26/2022,01/01/2020,10/22/2022,By Total,Nevada,Total - All Places of Death,11569
10/26/2022,01/01/2020,10/22/2022,By Total,Nevada,"Healthcare setting, inpatient",8400
10/26/2022,01/01/2020,10/22/2022,By Total,Nevada,"Healthcare setting, outpatient or emergency room",418
10/26/2022,01/01/2020,10/22/2022,By Total,Nevada,"Healthcare setting, dead on arrival",
10/26/2022,01/01/2020,10/22/2022,By Total,Nevada,Decedent's home,1213
10/26/2022,01/01/2020,10/22/2022,By Total,Nevada,Hospice facility,1101
10/26/2022,01/01/2020,10/22/2022,By Total,Nevada,Nursing home/long term care facility,318
10/26/2022,01/01/2020,10/22/2022,By Total,Nevada,Other,118
10/26/2022,01/01/2020,10/22/2022,By Total,Nevada,Place of death unknown,0
10/26/2022,01/01/2020,10/22/2022,By Total,New Hampshire,Total - All Places of Death,2692
10/26/2022,01/01/2020,10/22/2022,By Total,New Hampshire,"Healthcare setting, inpatient",1364
10/26/2022,01/01/2020,10/22/2022,By Total,New Hampshire,"Healthcare setting, outpatient or emergency room",62
10/26/2022,01/01/2020,10/22/2022,By Total,New Hampshire,"Healthcare setting, dead on arrival",
10/26/2022,01/01/2020,10/22/2022,By Total,New Hampshire,Decedent's home,280
10/26/2022,01/01/2020,10/22/2022,By Total,New Hampshire,Hospice facility,33
10/26/2022,01/01/2020,10/22/2022,By Total,New Hampshire,Nursing home/long term care facility,889
10/26/2022,01/01/2020,10/22/2022,By Total,New Hampshire,Other,62
10/26/2022,01/01/2020,10/22/2022,By Total,New Hampshire,Place of death unknown,
10/26/2022,01/01/2020,10/22/2022,By Total,New Jersey,Total - All Places of Death,33461
10/26/2022,01/01/2020,10/22/2022,By Total,New Jersey,"Healthcare setting, inpatient",22913
10/26/2022,01/01/2020,10/22/2022,By Total,New Jersey,"Healthcare setting, outpatient or emergency room",984
10/26/2022,01/01/2020,10/22/2022,By Total,New Jersey,"Healthcare setting, dead on arrival",44
10/26/2022,01/01/2020,10/22/2022,By Total,New Jersey,Decedent's home,2292
10/26/2022,01/01/2020,10/22/2022,By Total,New Jersey,Hospice facility,741
10/26/2022,01/01/2020,10/22/2022,By Total,New Jersey,Nursing home/long term care facility,6032
10/26/2022,01/01/2020,10/22/2022,By Total,New Jersey,Other,454
10/26/2022,01/01/2020,10/22/2022,By Total,New Jersey,Place of death unknown,
10/26/2022,01/01/2020,10/22/2022,By Total,New Mexico,Total - All Places of Death,8248
10/26/2022,01/01/2020,10/22/2022,By Total,New Mexico,"Healthcare setting, inpatient",5234
10/26/2022,01/01/2020,10/22/2022,By Total,New Mexico,"Healthcare setting, outpatient or emergency room",316
10/26/2022,01/01/2020,10/22/2022,By Total,New Mexico,"Healthcare setting, dead on arrival",
10/26/2022,01/01/2020,10/22/2022,By Total,New Mexico,Decedent's home,1332
10/26/2022,01/01/2020,10/22/2022,By Total,New Mexico,Hospice facility,90
10/26/2022,01/01/2020,10/22/2022,By Total,New Mexico,Nursing home/long term care facility,1026
10/26/2022,01/01/2020,10/22/2022,By Total,New Mexico,Other,243
10/26/2022,01/01/2020,10/22/2022,By Total,New Mexico,Place of death unknown,0
10/26/2022,01/01/2020,10/22/2022,By Total,New York,Total - All Places of Death,38631
10/26/2022,01/01/2020,10/22/2022,By Total,New York,"Healthcare setting, inpatient",23954
10/26/2022,01/01/2020,10/22/2022,By Total,New York,"Healthcare setting, outpatient or emergency room",1293
10/26/2022,01/01/2020,10/22/2022,By Total,New York,"Healthcare setting, dead on arrival",95
10/26/2022,01/01/2020,10/22/2022,By Total,New York,Decedent's home,3017
10/26/2022,01/01/2020,10/22/2022,By Total,New York,Hospice facility,1816
10/26/2022,01/01/2020,10/22/2022,By Total,New York,Nursing home/long term care facility,8072
10/26/2022,01/01/2020,10/22/2022,By Total,New York,Other,375
10/26/2022,01/01/2020,10/22/2022,By Total,New York,Place of death unknown,
10/26/2022,01/01/2020,10/22/2022,By Total,New York City,Total - All Places of Death,36265
10/26/2022,01/01/2020,10/22/2022,By Total,New York City,"Healthcare setting, inpatient",27177
10/26/2022,01/01/2020,10/22/2022,By Total,New York City,"Healthcare setting, outpatient or emergency room",2112
10/26/2022,01/01/2020,10/22/2022,By Total,New York City,"Healthcare setting, dead on arrival",67
10/26/2022,01/01/2020,10/22/2022,By Total,New York City,Decedent's home,3581
10/26/2022,01/01/2020,10/22/2022,By Total,New York City,Hospice facility,54
10/26/2022,01/01/2020,10/22/2022,By Total,New York City,Nursing home/long term care facility,3203
10/26/2022,01/01/2020,10/22/2022,By Total,New York City,Other,71
10/26/2022,01/01/2020,10/22/2022,By Total,New York City,Place of death unknown,0
10/26/2022,01/01/2020,10/22/2022,By Total,North Carolina,Total - All Places of Death,31336
10/26/2022,01/01/2020,10/22/2022,By Total,North Carolina,"Healthcare setting, inpatient",21025
10/26/2022,01/01/2020,10/22/2022,By Total,North Carolina,"Healthcare setting, outpatient or emergency room",761
10/26/2022,01/01/2020,10/22/2022,By Total,North Carolina,"Healthcare setting, dead on arrival",49
10/26/2022,01/01/2020,10/22/2022,By Total,North Carolina,Decedent's home,2831
10/26/2022,01/01/2020,10/22/2022,By Total,North Carolina,Hospice facility,1708
10/26/2022,01/01/2020,10/22/2022,By Total,North Carolina,Nursing home/long term care facility,4237
