Data As Of,Start Date,End Date,Group,Year,Month,State,Place of Death,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
09/21/2022,01/01/2020,09/17/2022,By Total,,,Alabama,Other,193,9884,110,35,,271,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Alabama,Place of death unknown,0,0,0,0,0,0,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Alaska,Total - All Places of Death,1368,14610,1227,773,24,1844,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Alaska,"Healthcare setting, inpatient",969,5018,973,666,15,1290,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Alaska,"Healthcare setting, outpatient or emergency room",52,908,31,13,,72,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Alaska,"Healthcare setting, dead on arrival",0,12,0,0,0,0,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Alaska,Decedent's home,218,5942,142,59,,305,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Alaska,Hospice facility,0,0,0,0,0,0,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Alaska,Nursing home/long term care facility,95,1383,49,22,,123,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Alaska,Other,34,1346,32,13,,54,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Alaska,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Arizona,Total - All Places of Death,28231,211787,26033,16534,220,37936,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Arizona,"Healthcare setting, inpatient",19478,59495,19475,13541,151,25556,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Arizona,"Healthcare setting, outpatient or emergency room",870,11261,648,318,,1206,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Arizona,"Healthcare setting, dead on arrival",,59,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Arizona,Decedent's home,2984,72291,2313,1022,24,4298,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Arizona,Hospice facility,1452,16102,1311,538,25,2247,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Arizona,Nursing home/long term care facility,1763,20426,1145,595,,2318,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Arizona,Other,1678,32153,1138,518,,2304,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Arizona,Place of death unknown,0,0,0,0,0,0,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Arkansas,Total - All Places of Death,11668,103892,11015,5717,144,17095,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Arkansas,"Healthcare setting, inpatient",7720,32111,8210,4614,90,11399,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Arkansas,"Healthcare setting, outpatient or emergency room",498,7643,397,151,13,757,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Arkansas,"Healthcare setting, dead on arrival",15,201,,,0,19,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Arkansas,Decedent's home,953,34276,743,236,26,1481,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Arkansas,Hospice facility,518,9321,717,244,,998,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Arkansas,Nursing home/long term care facility,1824,14451,850,441,,2238,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Arkansas,Other,140,5889,91,28,0,203,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Arkansas,Place of death unknown,0,0,0,0,0,0,
09/21/2022,01/01/2020,09/17/2022,By Total,,,California,Total - All Places of Death,100176,870235,103155,58535,1011,145767,
09/21/2022,01/01/2020,09/17/2022,By Total,,,California,"Healthcare setting, inpatient",71891,284381,83029,49640,823,106074,
09/21/2022,01/01/2020,09/17/2022,By Total,,,California,"Healthcare setting, outpatient or emergency room",3875,49070,3317,1467,48,5768,
09/21/2022,01/01/2020,09/17/2022,By Total,,,California,"Healthcare setting, dead on arrival",26,298,24,12,0,38,
09/21/2022,01/01/2020,09/17/2022,By Total,,,California,Decedent's home,10933,331362,7608,3068,80,15551,
09/21/2022,01/01/2020,09/17/2022,By Total,,,California,Hospice facility,407,12401,460,152,,716,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,California,Nursing home/long term care facility,8914,90569,5845,2800,39,11995,
09/21/2022,01/01/2020,09/17/2022,By Total,,,California,Other,4129,102139,2871,1395,20,5624,
09/21/2022,01/01/2020,09/17/2022,By Total,,,California,Place of death unknown,,15,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Colorado,Total - All Places of Death,13974,129251,12595,7350,231,19439,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Colorado,"Healthcare setting, inpatient",7939,33317,8394,5548,131,10909,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Colorado,"Healthcare setting, outpatient or emergency room",325,5032,270,126,11,480,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Colorado,"Healthcare setting, dead on arrival",14,118,,,0,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Colorado,Decedent's home,2090,47188,1562,623,42,3070,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Colorado,Hospice facility,401,9154,624,198,,835,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Colorado,Nursing home/long term care facility,2907,25762,1504,768,34,3675,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Colorado,Other,298,8650,233,81,,454,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Colorado,Place of death unknown,0,30,0,0,0,0,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Connecticut,Total - All Places of Death,11429,96315,7986,3763,121,15765,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Connecticut,"Healthcare setting, inpatient",6865,33552,6294,3162,92,10082,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Connecticut,"Healthcare setting, outpatient or emergency room",414,5952,180,58,,539,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Connecticut,"Healthcare setting, dead on arrival",19,625,10,,0,26,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Connecticut,Decedent's home,659,28706,295,57,,902,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Connecticut,Hospice facility,195,3551,158,75,0,278,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Connecticut,Nursing home/long term care facility,3064,18340,975,383,19,3675,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Connecticut,Other,213,5589,74,25,,263,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Connecticut,Place of death unknown,0,0,0,0,0,0,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Delaware,Total - All Places of Death,3083,29944,2794,1565,32,4342,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Delaware,"Healthcare setting, inpatient",1932,8065,2192,1311,21,2832,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Delaware,"Healthcare setting, outpatient or emergency room",88,1745,86,32,,144,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Delaware,"Healthcare setting, dead on arrival",,28,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Delaware,Decedent's home,317,11196,187,81,,427,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Delaware,Hospice facility,158,3388,133,49,,246,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Delaware,Nursing home/long term care facility,567,3867,171,85,,654,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Delaware,Other,19,1651,25,,0,37,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Delaware,Place of death unknown,,,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,District of Columbia,Total - All Places of Death,2082,19068,2589,1608,12,3075,
09/21/2022,01/01/2020,09/17/2022,By Total,,,District of Columbia,"Healthcare setting, inpatient",1610,9859,2155,1304,11,2472,
09/21/2022,01/01/2020,09/17/2022,By Total,,,District of Columbia,"Healthcare setting, outpatient or emergency room",85,1124,74,57,0,102,
09/21/2022,01/01/2020,09/17/2022,By Total,,,District of Columbia,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,District of Columbia,Decedent's home,171,4782,153,105,0,219,
09/21/2022,01/01/2020,09/17/2022,By Total,,,District of Columbia,Hospice facility,36,633,48,29,0,55,
09/21/2022,01/01/2020,09/17/2022,By Total,,,District of Columbia,Nursing home/long term care facility,151,1372,128,92,0,187,
09/21/2022,01/01/2020,09/17/2022,By Total,,,District of Columbia,Other,29,1296,31,21,,40,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,District of Columbia,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Florida,Total - All Places of Death,75039,677644,80760,46955,755,109515,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Florida,"Healthcare setting, inpatient",52000,204276,57493,36928,507,73008,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Florida,"Healthcare setting, outpatient or emergency room",2476,42527,2063,1024,34,3547,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Florida,"Healthcare setting, dead on arrival",33,531,16,11,0,38,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Florida,Decedent's home,5013,192662,4583,1812,59,7840,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Florida,Hospice facility,8879,118291,11160,4681,118,15465,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Florida,Nursing home/long term care facility,3685,54509,2514,1027,13,5183,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Florida,Other,2953,64843,2931,1472,24,4434,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Florida,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Georgia,Total - All Places of Death,33883,284584,29030,17786,319,45412,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Georgia,"Healthcare setting, inpatient",23950,90176,22681,15002,226,31829,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Georgia,"Healthcare setting, outpatient or emergency room",1790,26081,1053,493,27,2374,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Georgia,"Healthcare setting, dead on arrival",63,2072,37,13,,88,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Georgia,Decedent's home,3021,95364,1768,735,34,4084,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Georgia,Hospice facility,1528,19913,1670,640,17,2575,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Georgia,Nursing home/long term care facility,3052,33527,1588,795,11,3855,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Georgia,Other,479,17420,233,108,,607,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Georgia,Place of death unknown,0,31,0,0,0,0,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Hawaii,Total - All Places of Death,1638,33946,2634,852,31,3449,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Hawaii,"Healthcare setting, inpatient",1098,9270,1809,729,22,2198,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Hawaii,"Healthcare setting, outpatient or emergency room",112,2548,113,30,,196,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Hawaii,"Healthcare setting, dead on arrival",30,1429,40,,,67,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Hawaii,Decedent's home,238,12595,333,58,,515,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Hawaii,Hospice facility,21,1559,70,,,86,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Hawaii,Nursing home/long term care facility,84,2813,144,,,222,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Hawaii,Other,55,3730,125,16,,165,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Hawaii,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Idaho,Total - All Places of Death,5226,46621,4202,2691,63,6793,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Idaho,"Healthcare setting, inpatient",3065,11530,2876,2018,33,3951,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Idaho,"Healthcare setting, outpatient or emergency room",109,1553,86,36,,163,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Idaho,"Healthcare setting, dead on arrival",0,40,0,0,0,0,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Idaho,Decedent's home,848,19325,556,293,17,1126,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Idaho,Hospice facility,168,1724,163,89,,243,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Idaho,Nursing home/long term care facility,973,9869,471,236,,1215,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Idaho,Other,63,2580,50,19,,95,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Idaho,Place of death unknown,0,0,0,0,0,0,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Illinois,Total - All Places of Death,35889,332681,33874,18862,296,51178,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Illinois,"Healthcare setting, inpatient",23699,104050,25885,15602,192,34155,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Illinois,"Healthcare setting, outpatient or emergency room",1464,23417,1040,466,15,2053,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Illinois,"Healthcare setting, dead on arrival",29,757,11,,0,33,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Illinois,Decedent's home,3155,111385,2403,836,35,4757,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Illinois,Hospice facility,804,12957,972,404,10,1382,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Illinois,Nursing home/long term care facility,5822,56954,3037,1352,38,7545,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Illinois,Other,916,23160,526,195,,1253,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Illinois,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Indiana,Total - All Places of Death,24785,209289,23390,13195,269,35228,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Indiana,"Healthcare setting, inpatient",15187,65868,17400,10687,188,22071,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Indiana,"Healthcare setting, outpatient or emergency room",568,8837,453,203,10,827,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Indiana,"Healthcare setting, dead on arrival",,171,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Indiana,Decedent's home,2303,69787,1899,747,27,3480,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Indiana,Hospice facility,381,7483,637,244,,783,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Indiana,Nursing home/long term care facility,5985,46033,2722,1194,31,7543,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Indiana,Other,354,11089,276,119,,515,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Indiana,Place of death unknown,0,21,0,0,0,0,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Iowa,Total - All Places of Death,10058,92646,8096,3813,161,14494,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Iowa,"Healthcare setting, inpatient",5287,24777,5217,2830,82,7749,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Iowa,"Healthcare setting, outpatient or emergency room",284,4692,202,72,,418,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Iowa,"Healthcare setting, dead on arrival",,108,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Iowa,Decedent's home,855,26039,679,193,18,1359,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Iowa,Hospice facility,288,7471,532,94,18,743,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Iowa,Nursing home/long term care facility,3228,25987,1394,600,38,4060,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Iowa,Other,112,3570,68,22,0,158,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Iowa,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Kansas,Total - All Places of Death,9305,83403,7832,4213,179,13094,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Kansas,"Healthcare setting, inpatient",5675,24203,5518,3305,107,7988,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Kansas,"Healthcare setting, outpatient or emergency room",262,3432,201,86,,382,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Kansas,"Healthcare setting, dead on arrival",,77,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Kansas,Decedent's home,889,26264,654,235,25,1332,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Kansas,Hospice facility,174,4016,317,70,14,435,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Kansas,Nursing home/long term care facility,2173,20952,1051,489,27,2762,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Kansas,Other,131,4459,91,28,,194,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Kansas,Place of death unknown,0,0,0,0,0,0,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Kentucky,Total - All Places of Death,17882,153921,19011,9469,212,27612,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Kentucky,"Healthcare setting, inpatient",12054,53784,15135,8078,146,19238,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Kentucky,"Healthcare setting, outpatient or emergency room",683,11411,481,193,10,981,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Kentucky,"Healthcare setting, dead on arrival",,219,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Kentucky,Decedent's home,1941,50109,1391,528,33,2834,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Kentucky,Hospice facility,657,11100,736,196,15,1212,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Kentucky,Nursing home/long term care facility,2364,20018,1146,422,,3093,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Kentucky,Other,178,7267,119,50,0,247,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Kentucky,Place of death unknown,,13,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Louisiana,Total - All Places of Death,16563,148730,13695,8511,144,21876,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Louisiana,"Healthcare setting, inpatient",12005,46149,10460,6958,104,15599,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Louisiana,"Healthcare setting, outpatient or emergency room",765,9849,625,317,,1080,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Louisiana,"Healthcare setting, dead on arrival",,115,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Louisiana,Decedent's home,1546,54957,1049,438,24,2179,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Louisiana,Hospice facility,431,7258,390,208,,617,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Louisiana,Nursing home/long term care facility,1618,20636,1026,532,,2115,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Louisiana,Other,195,9766,142,57,,281,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Louisiana,Place of death unknown,0,0,0,0,0,0,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Maine,Total - All Places of Death,2702,44563,3112,738,52,5128,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Maine,"Healthcare setting, inpatient",1469,10558,1973,575,33,2900,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Maine,"Healthcare setting, outpatient or emergency room",69,1430,75,11,,135,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Maine,"Healthcare setting, dead on arrival",,19,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Maine,Decedent's home,296,16573,388,58,,632,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Maine,Hospice facility,71,4467,185,18,,242,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Maine,Nursing home/long term care facility,761,8956,457,73,,1150,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Maine,Other,31,2540,33,,,63,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
