Data As Of,Start Date,End Date,Group,State,Place of Death,COVID-19 Deaths
10/19/2022,01/01/2020,10/15/2022,By Total,California,"Healthcare setting, dead on arrival",26
10/19/2022,01/01/2020,10/15/2022,By Total,California,Decedent's home,11093
10/19/2022,01/01/2020,10/15/2022,By Total,California,Hospice facility,411
10/19/2022,01/01/2020,10/15/2022,By Total,California,Nursing home/long term care facility,8992
10/19/2022,01/01/2020,10/15/2022,By Total,California,Other,4190
10/19/2022,01/01/2020,10/15/2022,By Total,California,Place of death unknown,
10/19/2022,01/01/2020,10/15/2022,By Total,Colorado,Total - All Places of Death,14093
10/19/2022,01/01/2020,10/15/2022,By Total,Colorado,"Healthcare setting, inpatient",7970
10/19/2022,01/01/2020,10/15/2022,By Total,Colorado,"Healthcare setting, outpatient or emergency room",328
10/19/2022,01/01/2020,10/15/2022,By Total,Colorado,"Healthcare setting, dead on arrival",14
10/19/2022,01/01/2020,10/15/2022,By Total,Colorado,Decedent's home,2134
10/19/2022,01/01/2020,10/15/2022,By Total,Colorado,Hospice facility,405
10/19/2022,01/01/2020,10/15/2022,By Total,Colorado,Nursing home/long term care facility,2942
10/19/2022,01/01/2020,10/15/2022,By Total,Colorado,Other,300
10/19/2022,01/01/2020,10/15/2022,By Total,Colorado,Place of death unknown,0
10/19/2022,01/01/2020,10/15/2022,By Total,Connecticut,Total - All Places of Death,11547
10/19/2022,01/01/2020,10/15/2022,By Total,Connecticut,"Healthcare setting, inpatient",6927
10/19/2022,01/01/2020,10/15/2022,By Total,Connecticut,"Healthcare setting, outpatient or emergency room",424
10/19/2022,01/01/2020,10/15/2022,By Total,Connecticut,"Healthcare setting, dead on arrival",19
10/19/2022,01/01/2020,10/15/2022,By Total,Connecticut,Decedent's home,668
10/19/2022,01/01/2020,10/15/2022,By Total,Connecticut,Hospice facility,200
10/19/2022,01/01/2020,10/15/2022,By Total,Connecticut,Nursing home/long term care facility,3093
10/19/2022,01/01/2020,10/15/2022,By Total,Connecticut,Other,216
10/19/2022,01/01/2020,10/15/2022,By Total,Connecticut,Place of death unknown,0
10/19/2022,01/01/2020,10/15/2022,By Total,Delaware,Total - All Places of Death,3121
10/19/2022,01/01/2020,10/15/2022,By Total,Delaware,"Healthcare setting, inpatient",1951
10/19/2022,01/01/2020,10/15/2022,By Total,Delaware,"Healthcare setting, outpatient or emergency room",91
10/19/2022,01/01/2020,10/15/2022,By Total,Delaware,"Healthcare setting, dead on arrival",
10/19/2022,01/01/2020,10/15/2022,By Total,Delaware,Decedent's home,327
10/19/2022,01/01/2020,10/15/2022,By Total,Delaware,Hospice facility,161
10/19/2022,01/01/2020,10/15/2022,By Total,Delaware,Nursing home/long term care facility,570
10/19/2022,01/01/2020,10/15/2022,By Total,Delaware,Other,19
10/19/2022,01/01/2020,10/15/2022,By Total,Delaware,Place of death unknown,
10/19/2022,01/01/2020,10/15/2022,By Total,District of Columbia,Total - All Places of Death,2098
10/19/2022,01/01/2020,10/15/2022,By Total,District of Columbia,"Healthcare setting, inpatient",1621
10/19/2022,01/01/2020,10/15/2022,By Total,District of Columbia,"Healthcare setting, outpatient or emergency room",87
10/19/2022,01/01/2020,10/15/2022,By Total,District of Columbia,"Healthcare setting, dead on arrival",0
10/19/2022,01/01/2020,10/15/2022,By Total,District of Columbia,Decedent's home,172
10/19/2022,01/01/2020,10/15/2022,By Total,District of Columbia,Hospice facility,36
10/19/2022,01/01/2020,10/15/2022,By Total,District of Columbia,Nursing home/long term care facility,152
10/19/2022,01/01/2020,10/15/2022,By Total,District of Columbia,Other,30
10/19/2022,01/01/2020,10/15/2022,By Total,District of Columbia,Place of death unknown,0
10/19/2022,01/01/2020,10/15/2022,By Total,Florida,Total - All Places of Death,75812
10/19/2022,01/01/2020,10/15/2022,By Total,Florida,"Healthcare setting, inpatient",52315
10/19/2022,01/01/2020,10/15/2022,By Total,Florida,"Healthcare setting, outpatient or emergency room",2500
10/19/2022,01/01/2020,10/15/2022,By Total,Florida,"Healthcare setting, dead on arrival",33
10/19/2022,01/01/2020,10/15/2022,By Total,Florida,Decedent's home,5140
10/19/2022,01/01/2020,10/15/2022,By Total,Florida,Hospice facility,9072
10/19/2022,01/01/2020,10/15/2022,By Total,Florida,Nursing home/long term care facility,3759
10/19/2022,01/01/2020,10/15/2022,By Total,Florida,Other,2993
10/19/2022,01/01/2020,10/15/2022,By Total,Florida,Place of death unknown,0
10/19/2022,01/01/2020,10/15/2022,By Total,Georgia,Total - All Places of Death,34183
10/19/2022,01/01/2020,10/15/2022,By Total,Georgia,"Healthcare setting, inpatient",24082
10/19/2022,01/01/2020,10/15/2022,By Total,Georgia,"Healthcare setting, outpatient or emergency room",1811
10/19/2022,01/01/2020,10/15/2022,By Total,Georgia,"Healthcare setting, dead on arrival",63
10/19/2022,01/01/2020,10/15/2022,By Total,Georgia,Decedent's home,3081
10/19/2022,01/01/2020,10/15/2022,By Total,Georgia,Hospice facility,1568
10/19/2022,01/01/2020,10/15/2022,By Total,Georgia,Nursing home/long term care facility,3092
10/19/2022,01/01/2020,10/15/2022,By Total,Georgia,Other,486
10/19/2022,01/01/2020,10/15/2022,By Total,Georgia,Place of death unknown,0
10/19/2022,01/01/2020,10/15/2022,By Total,Hawaii,Total - All Places of Death,1659
10/19/2022,01/01/2020,10/15/2022,By Total,Hawaii,"Healthcare setting, inpatient",1113
10/19/2022,01/01/2020,10/15/2022,By Total,Hawaii,"Healthcare setting, outpatient or emergency room",113
10/19/2022,01/01/2020,10/15/2022,By Total,Hawaii,"Healthcare setting, dead on arrival",30
10/19/2022,01/01/2020,10/15/2022,By Total,Hawaii,Decedent's home,242
10/19/2022,01/01/2020,10/15/2022,By Total,Hawaii,Hospice facility,22
10/19/2022,01/01/2020,10/15/2022,By Total,Hawaii,Nursing home/long term care facility,84
10/19/2022,01/01/2020,10/15/2022,By Total,Hawaii,Other,55
10/19/2022,01/01/2020,10/15/2022,By Total,Hawaii,Place of death unknown,0
10/19/2022,01/01/2020,10/15/2022,By Total,Idaho,Total - All Places of Death,5267
10/19/2022,01/01/2020,10/15/2022,By Total,Idaho,"Healthcare setting, inpatient",3078
10/19/2022,01/01/2020,10/15/2022,By Total,Idaho,"Healthcare setting, outpatient or emergency room",109
10/19/2022,01/01/2020,10/15/2022,By Total,Idaho,"Healthcare setting, dead on arrival",0
10/19/2022,01/01/2020,10/15/2022,By Total,Idaho,Decedent's home,866
10/19/2022,01/01/2020,10/15/2022,By Total,Idaho,Hospice facility,169
10/19/2022,01/01/2020,10/15/2022,By Total,Idaho,Nursing home/long term care facility,982
10/19/2022,01/01/2020,10/15/2022,By Total,Idaho,Other,63
10/19/2022,01/01/2020,10/15/2022,By Total,Idaho,Place of death unknown,0
10/19/2022,01/01/2020,10/15/2022,By Total,Illinois,Total - All Places of Death,36166
10/19/2022,01/01/2020,10/15/2022,By Total,Illinois,"Healthcare setting, inpatient",23827
10/19/2022,01/01/2020,10/15/2022,By Total,Illinois,"Healthcare setting, outpatient or emergency room",1477
10/19/2022,01/01/2020,10/15/2022,By Total,Illinois,"Healthcare setting, dead on arrival",29
10/19/2022,01/01/2020,10/15/2022,By Total,Illinois,Decedent's home,3201
10/19/2022,01/01/2020,10/15/2022,By Total,Illinois,Hospice facility,819
10/19/2022,01/01/2020,10/15/2022,By Total,Illinois,Nursing home/long term care facility,5882
10/19/2022,01/01/2020,10/15/2022,By Total,Illinois,Other,931
10/19/2022,01/01/2020,10/15/2022,By Total,Illinois,Place of death unknown,0
10/19/2022,01/01/2020,10/15/2022,By Total,Indiana,Total - All Places of Death,25013
10/19/2022,01/01/2020,10/15/2022,By Total,Indiana,"Healthcare setting, inpatient",15284
10/19/2022,01/01/2020,10/15/2022,By Total,Indiana,"Healthcare setting, outpatient or emergency room",577
10/19/2022,01/01/2020,10/15/2022,By Total,Indiana,"Healthcare setting, dead on arrival",
10/19/2022,01/01/2020,10/15/2022,By Total,Indiana,Decedent's home,2345
10/19/2022,01/01/2020,10/15/2022,By Total,Indiana,Hospice facility,387
10/19/2022,01/01/2020,10/15/2022,By Total,Indiana,Nursing home/long term care facility,6052
10/19/2022,01/01/2020,10/15/2022,By Total,Indiana,Other,361
10/19/2022,01/01/2020,10/15/2022,By Total,Indiana,Place of death unknown,0
10/19/2022,01/01/2020,10/15/2022,By Total,Iowa,Total - All Places of Death,10161
10/19/2022,01/01/2020,10/15/2022,By Total,Iowa,"Healthcare setting, inpatient",5323
10/19/2022,01/01/2020,10/15/2022,By Total,Iowa,"Healthcare setting, outpatient or emergency room",291
10/19/2022,01/01/2020,10/15/2022,By Total,Iowa,"Healthcare setting, dead on arrival",
10/19/2022,01/01/2020,10/15/2022,By Total,Iowa,Decedent's home,864
10/19/2022,01/01/2020,10/15/2022,By Total,Iowa,Hospice facility,291
10/19/2022,01/01/2020,10/15/2022,By Total,Iowa,Nursing home/long term care facility,3272
10/19/2022,01/01/2020,10/15/2022,By Total,Iowa,Other,115
10/19/2022,01/01/2020,10/15/2022,By Total,Iowa,Place of death unknown,0
10/19/2022,01/01/2020,10/15/2022,By Total,Kansas,Total - All Places of Death,9391
10/19/2022,01/01/2020,10/15/2022,By Total,Kansas,"Healthcare setting, inpatient",5709
10/19/2022,01/01/2020,10/15/2022,By Total,Kansas,"Healthcare setting, outpatient or emergency room",263
10/19/2022,01/01/2020,10/15/2022,By Total,Kansas,"Healthcare setting, dead on arrival",
10/19/2022,01/01/2020,10/15/2022,By Total,Kansas,Decedent's home,906
10/19/2022,01/01/2020,10/15/2022,By Total,Kansas,Hospice facility,176
10/19/2022,01/01/2020,10/15/2022,By Total,Kansas,Nursing home/long term care facility,2203
10/19/2022,01/01/2020,10/15/2022,By Total,Kansas,Other,132
10/19/2022,01/01/2020,10/15/2022,By Total,Kansas,Place of death unknown,0
10/19/2022,01/01/2020,10/15/2022,By Total,Kentucky,Total - All Places of Death,18183
10/19/2022,01/01/2020,10/15/2022,By Total,Kentucky,"Healthcare setting, inpatient",12187
10/19/2022,01/01/2020,10/15/2022,By Total,Kentucky,"Healthcare setting, outpatient or emergency room",705
10/19/2022,01/01/2020,10/15/2022,By Total,Kentucky,"Healthcare setting, dead on arrival",
10/19/2022,01/01/2020,10/15/2022,By Total,Kentucky,Decedent's home,2027
10/19/2022,01/01/2020,10/15/2022,By Total,Kentucky,Hospice facility,678
10/19/2022,01/01/2020,10/15/2022,By Total,Kentucky,Nursing home/long term care facility,2398
10/19/2022,01/01/2020,10/15/2022,By Total,Kentucky,Other,183
10/19/2022,01/01/2020,10/15/2022,By Total,Kentucky,Place of death unknown,
10/19/2022,01/01/2020,10/15/2022,By Total,Louisiana,Total - All Places of Death,16738
10/19/2022,01/01/2020,10/15/2022,By Total,Louisiana,"Healthcare setting, inpatient",12089
10/19/2022,01/01/2020,10/15/2022,By Total,Louisiana,"Healthcare setting, outpatient or emergency room",774
10/19/2022,01/01/2020,10/15/2022,By Total,Louisiana,"Healthcare setting, dead on arrival",
10/19/2022,01/01/2020,10/15/2022,By Total,Louisiana,Decedent's home,1586
10/19/2022,01/01/2020,10/15/2022,By Total,Louisiana,Hospice facility,438
10/19/2022,01/01/2020,10/15/2022,By Total,Louisiana,Nursing home/long term care facility,1649
10/19/2022,01/01/2020,10/15/2022,By Total,Louisiana,Other,199
10/19/2022,01/01/2020,10/15/2022,By Total,Louisiana,Place of death unknown,0
10/19/2022,01/01/2020,10/15/2022,By Total,Maine,Total - All Places of Death,2769
10/19/2022,01/01/2020,10/15/2022,By Total,Maine,"Healthcare setting, inpatient",1498
10/19/2022,01/01/2020,10/15/2022,By Total,Maine,"Healthcare setting, outpatient or emergency room",72
10/19/2022,01/01/2020,10/15/2022,By Total,Maine,"Healthcare setting, dead on arrival",
10/19/2022,01/01/2020,10/15/2022,By Total,Maine,Decedent's home,306
10/19/2022,01/01/2020,10/15/2022,By Total,Maine,Hospice facility,78
10/19/2022,01/01/2020,10/15/2022,By Total,Maine,Nursing home/long term care facility,778
10/19/2022,01/01/2020,10/15/2022,By Total,Maine,Other,32
10/19/2022,01/01/2020,10/15/2022,By Total,Maine,Place of death unknown,
10/19/2022,01/01/2020,10/15/2022,By Total,Maryland,Total - All Places of Death,16539
10/19/2022,01/01/2020,10/15/2022,By Total,Maryland,"Healthcare setting, inpatient",9763
10/19/2022,01/01/2020,10/15/2022,By Total,Maryland,"Healthcare setting, outpatient or emergency room",625
10/19/2022,01/01/2020,10/15/2022,By Total,Maryland,"Healthcare setting, dead on arrival",
10/19/2022,01/01/2020,10/15/2022,By Total,Maryland,Decedent's home,1419
10/19/2022,01/01/2020,10/15/2022,By Total,Maryland,Hospice facility,1326
10/19/2022,01/01/2020,10/15/2022,By Total,Maryland,Nursing home/long term care facility,2726
10/19/2022,01/01/2020,10/15/2022,By Total,Maryland,Other,671
10/19/2022,01/01/2020,10/15/2022,By Total,Maryland,Place of death unknown,0
10/19/2022,01/01/2020,10/15/2022,By Total,Massachusetts,Total - All Places of Death,19376
10/19/2022,01/01/2020,10/15/2022,By Total,Massachusetts,"Healthcare setting, inpatient",11446
10/19/2022,01/01/2020,10/15/2022,By Total,Massachusetts,"Healthcare setting, outpatient or emergency room",630
10/19/2022,01/01/2020,10/15/2022,By Total,Massachusetts,"Healthcare setting, dead on arrival",24
10/19/2022,01/01/2020,10/15/2022,By Total,Massachusetts,Decedent's home,1201
10/19/2022,01/01/2020,10/15/2022,By Total,Massachusetts,Hospice facility,190
10/19/2022,01/01/2020,10/15/2022,By Total,Massachusetts,Nursing home/long term care facility,5332
10/19/2022,01/01/2020,10/15/2022,By Total,Massachusetts,Other,553
10/19/2022,01/01/2020,10/15/2022,By Total,Massachusetts,Place of death unknown,0
10/19/2022,01/01/2020,10/15/2022,By Total,Michigan,Total - All Places of Death,34004
10/19/2022,01/01/2020,10/15/2022,By Total,Michigan,"Healthcare setting, inpatient",23219
10/19/2022,01/01/2020,10/15/2022,By Total,Michigan,"Healthcare setting, outpatient or emergency room",1462
10/19/2022,01/01/2020,10/15/2022,By Total,Michigan,"Healthcare setting, dead on arrival",15
10/19/2022,01/01/2020,10/15/2022,By Total,Michigan,Decedent's home,3899
10/19/2022,01/01/2020,10/15/2022,By Total,Michigan,Hospice facility,1038
10/19/2022,01/01/2020,10/15/2022,By Total,Michigan,Nursing home/long term care facility,4051
10/19/2022,01/01/2020,10/15/2022,By Total,Michigan,Other,319
10/19/2022,01/01/2020,10/15/2022,By Total,Michigan,Place of death unknown,
10/19/2022,01/01/2020,10/15/2022,By Total,Minnesota,Total - All Places of Death,13723
10/19/2022,01/01/2020,10/15/2022,By Total,Minnesota,"Healthcare setting, inpatient",6968
10/19/2022,01/01/2020,10/15/2022,By Total,Minnesota,"Healthcare setting, outpatient or emergency room",283
10/19/2022,01/01/2020,10/15/2022,By Total,Minnesota,"Healthcare setting, dead on arrival",10
10/19/2022,01/01/2020,10/15/2022,By Total,Minnesota,Decedent's home,1672
10/19/2022,01/01/2020,10/15/2022,By Total,Minnesota,Hospice facility,101
10/19/2022,01/01/2020,10/15/2022,By Total,Minnesota,Nursing home/long term care facility,4456
10/19/2022,01/01/2020,10/15/2022,By Total,Minnesota,Other,231
10/19/2022,01/01/2020,10/15/2022,By Total,Minnesota,Place of death unknown,
10/19/2022,01/01/2020,10/15/2022,By Total,Mississippi,Total - All Places of Death,13969
10/19/2022,01/01/2020,10/15/2022,By Total,Mississippi,"Healthcare setting, inpatient",9633
10/19/2022,01/01/2020,10/15/2022,By Total,Mississippi,"Healthcare setting, outpatient or emergency room",828
10/19/2022,01/01/2020,10/15/2022,By Total,Mississippi,"Healthcare setting, dead on arrival",15
10/19/2022,01/01/2020,10/15/2022,By Total,Mississippi,Decedent's home,1426
10/19/2022,01/01/2020,10/15/2022,By Total,Mississippi,Hospice facility,295
10/19/2022,01/01/2020,10/15/2022,By Total,Mississippi,Nursing home/long term care facility,1596
10/19/2022,01/01/2020,10/15/2022,By Total,Mississippi,Other,176
10/19/2022,01/01/2020,10/15/2022,By Total,Mississippi,Place of death unknown,0
10/19/2022,01/01/2020,10/15/2022,By Total,Missouri,Total - All Places of Death,21687
10/19/2022,01/01/2020,10/15/2022,By Total,Missouri,"Healthcare setting, inpatient",14370
10/19/2022,01/01/2020,10/15/2022,By Total,Missouri,"Healthcare setting, outpatient or emergency room",640
10/19/2022,01/01/2020,10/15/2022,By Total,Missouri,"Healthcare setting, dead on arrival",
10/19/2022,01/01/2020,10/15/2022,By Total,Missouri,Decedent's home,1887
10/19/2022,01/01/2020,10/15/2022,By Total,Missouri,Hospice facility,321
10/19/2022,01/01/2020,10/15/2022,By Total,Missouri,Nursing home/long term care facility,4271
10/19/2022,01/01/2020,10/15/2022,By Total,Missouri,Other,194
10/19/2022,01/01/2020,10/15/2022,By Total,Missouri,Place of death unknown,0
10/19/2022,01/01/2020,10/15/2022,By Total,Montana,Total - All Places of Death,3717
10/19/2022,01/01/2020,10/15/2022,By Total,Montana,"Healthcare setting, inpatient",2459
10/19/2022,01/01/2020,10/15/2022,By Total,Montana,"Healthcare setting, outpatient or emergency room",84
10/19/2022,01/01/2020,10/15/2022,By Total,Montana,"Healthcare setting, dead on arrival",
10/19/2022,01/01/2020,10/15/2022,By Total,Montana,Decedent's home,399
10/19/2022,01/01/2020,10/15/2022,By Total,Montana,Hospice facility,74
10/19/2022,01/01/2020,10/15/2022,By Total,Montana,Nursing home/long term care facility,674
10/19/2022,01/01/2020,10/15/2022,By Total,Montana,Other,24
10/19/2022,01/01/2020,10/15/2022,By Total,Montana,Place of death unknown,0
10/19/2022,01/01/2020,10/15/2022,By Total,Nebraska,Total - All Places of Death,5227
10/19/2022,01/01/2020,10/15/2022,By Total,Nebraska,"Healthcare setting, inpatient",3241
10/19/2022,01/01/2020,10/15/2022,By Total,Nebraska,"Healthcare setting, outpatient or emergency room",146
10/19/2022,01/01/2020,10/15/2022,By Total,Nebraska,"Healthcare setting, dead on arrival",0
10/19/2022,01/01/2020,10/15/2022,By Total,Nebraska,Decedent's home,465
10/19/2022,01/01/2020,10/15/2022,By Total,Nebraska,Hospice facility,68
10/19/2022,01/01/2020,10/15/2022,By Total,Nebraska,Nursing home/long term care facility,1060
10/19/2022,01/01/2020,10/15/2022,By Total,Nebraska,Other,247
10/19/2022,01/01/2020,10/15/2022,By Total,Nebraska,Place of death unknown,0
10/19/2022,01/01/2020,10/15/2022,By Total,Nevada,Total - All Places of Death,11560
10/19/2022,01/01/2020,10/15/2022,By Total,Nevada,"Healthcare setting, inpatient",8394
10/19/2022,01/01/2020,10/15/2022,By Total,Nevada,"Healthcare setting, outpatient or emergency room",418
10/19/2022,01/01/2020,10/15/2022,By Total,Nevada,"Healthcare setting, dead on arrival",
10/19/2022,01/01/2020,10/15/2022,By Total,Nevada,Decedent's home,1213
10/19/2022,01/01/2020,10/15/2022,By Total,Nevada,Hospice facility,1098
10/19/2022,01/01/2020,10/15/2022,By Total,Nevada,Nursing home/long term care facility,318
10/19/2022,01/01/2020,10/15/2022,By Total,Nevada,Other,118
10/19/2022,01/01/2020,10/15/2022,By Total,Nevada,Place of death unknown,0
10/19/2022,01/01/2020,10/15/2022,By Total,New Hampshire,Total - All Places of Death,2678
10/19/2022,01/01/2020,10/15/2022,By Total,New Hampshire,"Healthcare setting, inpatient",1357
10/19/2022,01/01/2020,10/15/2022,By Total,New Hampshire,"Healthcare setting, outpatient or emergency room",62
10/19/2022,01/01/2020,10/15/2022,By Total,New Hampshire,"Healthcare setting, dead on arrival",
10/19/2022,01/01/2020,10/15/2022,By Total,New Hampshire,Decedent's home,275
10/19/2022,01/01/2020,10/15/2022,By Total,New Hampshire,Hospice facility,33
10/19/2022,01/01/2020,10/15/2022,By Total,New Hampshire,Nursing home/long term care facility,888
10/19/2022,01/01/2020,10/15/2022,By Total,New Hampshire,Other,61
10/19/2022,01/01/2020,10/15/2022,By Total,New Hampshire,Place of death unknown,
10/19/2022,01/01/2020,10/15/2022,By Total,New Jersey,Total - All Places of Death,33395
10/19/2022,01/01/2020,10/15/2022,By Total,New Jersey,"Healthcare setting, inpatient",22876
10/19/2022,01/01/2020,10/15/2022,By Total,New Jersey,"Healthcare setting, outpatient or emergency room",981
10/19/2022,01/01/2020,10/15/2022,By Total,New Jersey,"Healthcare setting, dead on arrival",44
10/19/2022,01/01/2020,10/15/2022,By Total,New Jersey,Decedent's home,2285
10/19/2022,01/01/2020,10/15/2022,By Total,New Jersey,Hospice facility,737
10/19/2022,01/01/2020,10/15/2022,By Total,New Jersey,Nursing home/long term care facility,6017
10/19/2022,01/01/2020,10/15/2022,By Total,New Jersey,Other,454
10/19/2022,01/01/2020,10/15/2022,By Total,New Jersey,Place of death unknown,
10/19/2022,01/01/2020,10/15/2022,By Total,New Mexico,Total - All Places of Death,8226
10/19/2022,01/01/2020,10/15/2022,By Total,New Mexico,"Healthcare setting, inpatient",5225
10/19/2022,01/01/2020,10/15/2022,By Total,New Mexico,"Healthcare setting, outpatient or emergency room",316
10/19/2022,01/01/2020,10/15/2022,By Total,New Mexico,"Healthcare setting, dead on arrival",
10/19/2022,01/01/2020,10/15/2022,By Total,New Mexico,Decedent's home,1323
10/19/2022,01/01/2020,10/15/2022,By Total,New Mexico,Hospice facility,90
10/19/2022,01/01/2020,10/15/2022,By Total,New Mexico,Nursing home/long term care facility,1024
10/19/2022,01/01/2020,10/15/2022,By Total,New Mexico,Other,241
10/19/2022,01/01/2020,10/15/2022,By Total,New Mexico,Place of death unknown,0
10/19/2022,01/01/2020,10/15/2022,By Total,New York,Total - All Places of Death,38491
10/19/2022,01/01/2020,10/15/2022,By Total,New York,"Healthcare setting, inpatient",23890
10/19/2022,01/01/2020,10/15/2022,By Total,New York,"Healthcare setting, outpatient or emergency room",1284
10/19/2022,01/01/2020,10/15/2022,By Total,New York,"Healthcare setting, dead on arrival",94
10/19/2022,01/01/2020,10/15/2022,By Total,New York,Decedent's home,2993
10/19/2022,01/01/2020,10/15/2022,By Total,New York,Hospice facility,1805
10/19/2022,01/01/2020,10/15/2022,By Total,New York,Nursing home/long term care facility,8041
10/19/2022,01/01/2020,10/15/2022,By Total,New York,Other,375
10/19/2022,01/01/2020,10/15/2022,By Total,New York,Place of death unknown,
10/19/2022,01/01/2020,10/15/2022,By Total,New York City,Total - All Places of Death,36217
10/19/2022,01/01/2020,10/15/2022,By Total,New York City,"Healthcare setting, inpatient",27140
10/19/2022,01/01/2020,10/15/2022,By Total,New York City,"Healthcare setting, outpatient or emergency room",2110
10/19/2022,01/01/2020,10/15/2022,By Total,New York City,"Healthcare setting, dead on arrival",67
10/19/2022,01/01/2020,10/15/2022,By Total,New York City,Decedent's home,3574
10/19/2022,01/01/2020,10/15/2022,By Total,New York City,Hospice facility,53
10/19/2022,01/01/2020,10/15/2022,By Total,New York City,Nursing home/long term care facility,3202
10/19/2022,01/01/2020,10/15/2022,By Total,New York City,Other,71
10/19/2022,01/01/2020,10/15/2022,By Total,New York City,Place of death unknown,0
10/19/2022,01/01/2020,10/15/2022,By Total,North Carolina,Total - All Places of Death,31229
10/19/2022,01/01/2020,10/15/2022,By Total,North Carolina,"Healthcare setting, inpatient",20967
10/19/2022,01/01/2020,10/15/2022,By Total,North Carolina,"Healthcare setting, outpatient or emergency room",758
10/19/2022,01/01/2020,10/15/2022,By Total,North Carolina,"Healthcare setting, dead on arrival",49
10/19/2022,01/01/2020,10/15/2022,By Total,North Carolina,Decedent's home,2815
10/19/2022,01/01/2020,10/15/2022,By Total,North Carolina,Hospice facility,1690
10/19/2022,01/01/2020,10/15/2022,By Total,North Carolina,Nursing home/long term care facility,4228
